row_index,field,entry,classification,matched_with,csv_set_size,ann_set_size
0,REACTION_PRODUCT,"3-Isobutyl-5-methyl-1-(oxetan-2-ylmethyl)-6-[(2-oxoimidazolidin-1-yl)methyl]thieno[2,3-d]pyrimidine-2,4(1H,3H)-dione (racemate)",TP,"3-Isobutyl-5-methyl-1-(oxetan-2-ylmethyl)-6-[(2-oxoimidazolidin-1-yl)methyl]thieno[2,3-d]pyrimidine-2,4(1H,3H)-dione (racemate)",1,2
0,REACTION_PRODUCT,title compound,TP,,1,2
0,REAGENT_CATALYST,CDI,FP,,1,0
0,SOLVENT,dioxane,TP,dioxane,1,1
0,STARTING_MATERIAL,CDI,FN,,1,2
0,STARTING_MATERIAL,compound from Example 243A,TP,compound from Example 243A,1,2
0,TEMPERATURE,RT,TP,RT,1,1
0,TIME,16 h,TP,16 h,1,1
0,YIELD_OTHER,383 mg,TP,383 mg,1,1
0,YIELD_PERCENT,42%,TP,42%,1,1
1,REACTION_PRODUCT,"[5-(2,3-difluorophenyl)-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-acetic acid",TP,"[5-(2,3-difluorophenyl)-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-acetic acid",1,1
1,REAGENT_CATALYST,acetic acid,FP,,4,3
1,REAGENT_CATALYST,aqueous,TP,aqueous,4,3
1,REAGENT_CATALYST,lithium hydroxide,TP,lithium hydroxide,4,3
1,REAGENT_CATALYST,water,TP,water,4,3
1,SOLVENT,tetrahydrofuran,TP,tetrahydrofuran,1,1
1,STARTING_MATERIAL,"[5-(2,3-difluorophenyl)-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-methyl acetate",TP,"[5-(2,3-difluorophenyl)-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl]-methyl acetate",1,1
1,TEMPERATURE,room temperature,TP,room temperature,1,1
1,TIME,2 h,TP,2 hours,1,1
1,YIELD_OTHER,400 mg,TP,400 mg,1,1
1,YIELD_PERCENT,88%,TP,88%,1,1
2,REACTION_PRODUCT,"N-(3-chloro-4-fluorophenyl)-N-(2-fluoro-4-(hydrazinecarbonyl)benzyl)tetrahydro-2H-thiopyran-4-carboxamide 1,1-dioxide",TP,"N-(3-chloro-4-fluorophenyl)-N-(2-fluoro-4-(hydrazinecarbonyl)benzyl)tetrahydro-2H-thiopyran-4-carboxamide 1,1-dioxide",1,2
2,REACTION_PRODUCT,title compound,TP,,1,2
2,REAGENT_CATALYST,hydrazine monohydrate,TP,hydrazine monohydrate,1,1
2,SOLVENT,ethanol,TP,ethanol,2,2
2,SOLVENT,water,TP,water,2,2
2,STARTING_MATERIAL,"Methyl 4-((N-(3-chloro-4-fluorophenyl)-1,1-dioxidotetrahydro-2H-thiopyran-4-carboxamido)methyl)-3-fluorobenzoate",TP,"Methyl 4-((N-(3-chloro-4-fluorophenyl)-1,1-dioxidotetrahydro-2H-thiopyran-4-carboxamido)methyl)-3-fluorobenzoate",1,1
2,TEMPERATURE,80°C,TP,80°C,2,2
2,TEMPERATURE,room temperature,TP,room temperature,2,2
2,TIME,5 h,TP,5 hours,1,1
2,YIELD_OTHER,1.180 g,TP,1.180 g,1,1
2,YIELD_PERCENT,95.2%,TP,95.2%,1,1
3,REACTION_PRODUCT,"2'-amino-6-(2-amino-6-morpholinopyrimidin-4-yl)-3'-fluoro-[2,4'-bipyridin]-5-ol (LXXVI)",TP,LXXVI,1,3
3,REACTION_PRODUCT,"2'-amino-6-(2-amino-6-morpholinopyrimidin-4-yl)-3'-fluoro-[2,4'-bipyridin]-5-ol (LXXVI)",TP,"2'-amino-6-(2-amino-6-morpholinopyrimidin-4-yl)-3'-fluoro-[2,4'-bipyridin]-5-ol",1,3
3,REACTION_PRODUCT,title compound,TP,,1,3
3,REAGENT_CATALYST,Pyridine HCl,TP,Pyridine HCl,1,2
3,REAGENT_CATALYST,pyridine hydrochloride,FN,,1,2
