type,field,entry,row_index,csv_set,ann_set,corrected_label,Unnamed: 7
FN,STARTING_MATERIAL,CDI,0,compound from Example 243A,"CDI, compound from Example 243A",TP,
FP,REAGENT_CATALYST,CDI,0,CDI,,TP,
FP,REAGENT_CATALYST,acetic acid,1,"acetic acid, aqueous, lithium hydroxide, water","aqueous, lithium hydroxide, water",TP,
FN,REAGENT_CATALYST,pyridine hydrochloride,3,Pyridine HCl,"Pyridine HCl, pyridine hydrochloride",TP,
FN,STARTING_MATERIAL,di-tert-butyldicarbonate,5,(R)-8-(benzyloxy)-5-(2-(((1-benzylpiperidin-4-yl)methyl)amino)-1-((tert-butyldimethylsilyl)oxy)ethyl)quinolin-2(1H)-one,"(R)-8-(benzyloxy)-5-(2-(((1-benzylpiperidin-4-yl)methyl)amino)-1-((tert-butyldimethylsilyl)oxy)ethyl)quinolin-2(1H)-one, di-tert-butyldicarbonate",FN,
FP,REAGENT_CATALYST,di-tert-butyldicarbonate,5,di-tert-butyldicarbonate,,FP,
FN,REACTION_PRODUCT,compound of Example 8,7,1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one,"1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one, compound of Example 8",TP,
FN,STARTING_MATERIAL,N-hydroxy succinimide,9,Compound 33,"33, N-hydroxy succinimide",TP,
FP,TIME,overnight,9,overnight,,TP,
FP,REACTION_PRODUCT,"N-(2-Methoxy-4-(piperidin-4-yl)phenyl)-3-(2-methoxyphenyl)-3H-[1,2,3]triazolo[4,5-d]pyrimidin-5-amine (compound 7)",10,"N-(2-Methoxy-4-(piperidin-4-yl)phenyl)-3-(2-methoxyphenyl)-3H-[1,2,3]triazolo[4,5-d]pyrimidin-5-amine (compound 7)",7-c,FP,
FN,REACTION_PRODUCT,7-c,10,"N-(2-Methoxy-4-(piperidin-4-yl)phenyl)-3-(2-methoxyphenyl)-3H-[1,2,3]triazolo[4,5-d]pyrimidin-5-amine (compound 7)",7-c,TP,
FN,REAGENT_CATALYST,TFA,11,N-bromosuccinimide,"N-bromosuccinimide, TFA",TP,
FP,SOLVENT,TFA,11,TFA,,TP,
FP,REACTION_PRODUCT,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate",13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, (E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, 76f, title compound",TP,
FN,REACTION_PRODUCT,76f,13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, (E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, 76f, title compound",TP,
FN,REACTION_PRODUCT,"(E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate",13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, (E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, 76f, title compound",TP,
FN,REACTION_PRODUCT,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate",13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, (E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate, 76f, title compound",TP,
FN,STARTING_MATERIAL,76e,13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate, 1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate, 1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole, 17a, 76e",TP,
FN,STARTING_MATERIAL,17a,13,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate, 1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole","(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate, 1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole, 17a, 76e",TP,
