Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume21article1_1_1,"acenaphthene, glacial acetic acid, red lead","154 g (1 mole), 1.1 l, 820 g",Acenaphthenol acetate,170-175 g,glacial acetic acid,60-70°C,30-40 minutes,80-82%
volume21article1_2_1,"Acetate obtained from acenaphthene, sodium hydroxide",N/A,Acenaphthenol,120-126 g,"methanol, water",Reflux,2 hours,70-74%
volume21article2_1_1,"Aniline, ketene dimer","46 g (0.5 mole), 42 g (0.5 mole)",Acetoacetanilide,65 g,benzene,Reflux,1 hour,74%
volume21article3_1_1,"Aluminum shavings, tert-butyl alcohol, aluminum tert-butoxide, mercuric chloride","64 g (2.37 gram atoms), 200 g (254 ml, 2.7 moles), 5-10 g, 0.4 g",Aluminum tert-butoxide,394-418 g,"tert-butyl alcohol, benzene, ether","Boiling, reflux","2 hours, 10 hours, 2 hours",80-85%
volume21article4_1_1,"Anthranilic acid, sulfuric acid","25 g (0.18 mole), 400 ml",o-Aminobenzyl alcohol,62-70 g,water,20-30°C,60-70 ampere-hours,69-78%
volume21article5_1_1,"n-caproic acid, ketene","116 g (1 mole), 0.50-0.55 mole",n-caproic anhydride,86-95 g,N/A,N/A,N/A,80-87%
volume21article6_1_1,"sodium hydroxide, nickel-aluminum alloy","380 g, 300 g",Raney nickel,150 g,distilled water,"10°C, room temperature",8-12 hours,N/A
volume21article7_1_1,"cholesterol, aluminum tert-butoxide","100 g, 80 g",cholestenone,70-81 g,"acetone, benzene",75-85°C,8 hours,70-81%
volume21article8_1_1,"2,4-dinitroaniline, ethanol, concentrated ammonium hydroxide","238 g (1.3 moles), 2.4 L, 1.2 L","1,2-diamino-4-nitrobenzene",105-115 g,95% ethanol,45-55°C,30-60 minutes,52-58%
volume21article9_1_1,"Resorcinol, ethyl acetoacetate, concentrated sulfuric acid","220 g (2 moles), 260 g (2 moles), 2 l",4-Methyl-7-hydroxycoumarin,290-320 g,"concentrated sulfuric acid, water, 5% aqueous sodium hydroxide solution, dilute sulfuric acid","Below 10°C, 12-24 hours",N/A,82-90%
volume21article9_2_1,"4-methyl-7-hydroxycoumarin, acetic anhydride","286 g (1.6 moles), 572 g (5.6 moles)",4-Methyl-7-acetoxycoumarin,320-340 g,N/A,Reflux,1.5 hours,90-96%
volume21article9_3_1,"4-methyl-7-acetoxycoumarin, anhydrous aluminum chloride","200 g (0.92 mole), 453 g (3.4 moles)",4-Methyl-7-hydroxy-8-acetylcoumarin,145-155 g,"dilute hydrochloric acid, ethanol",125-170°C,"2 hours (heating), 30 minutes (stirring)",72.5-77.0%
