Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume41article1_1_1,"anhydrous aluminum chloride, N,N-dimethylaniline, oxalyl chloride","133 g (1.00 mole), 182 g (1.50 moles), 31.7 g (21.3 ml, 0.250 mole)","4,4'-bis(dimethylamino)benzil",28-31 g,carbon disulfide,"0-5°C, reflux, 50°C","1 hour, 1-2 hours",38-42%
volume41article2_1_1,"cyanoacetic acid, phosphorus pentachloride, t-butyl alcohol, dimethylaniline","340 g (4 moles), 834 g (4 moles), 296 g (4 moles), 484 g (4 moles)",t-butyl cyanoacetate,355-378 g,ether,"50-60°C reflux, room temperature","0.5 hour, 2 hours, 15 hours",63-67%
volume41article3_1_1,Dihydrocholesterol,0.200 g (0.515 mmole),Cholestanyl methyl ether,0.197 g,methylene chloride,N/A,1 hour,95%
volume41article4_1_1,"N-cyclohexylformamide, pyridine, phosphorous oxychloride","127 g (1.00 mole), 500 ml (490 g, 6.2 moles), 92 g (0.60 mole)",Cyclohexyl isocyanide,73-79 g,"petroleum ether, water","reflux, 0-5°C",10 minutes,67-72%
volume41article5_1_1,"N,N'-dimethyl-N,N'-dinitrosoterephthalamide, U.S.P. solvent grade ether, diethylene glycol monoethyl ether, 30% aqueous sodium hydroxide solution","180 g (0.5 mole), 3 l, 450 ml, 0.6 l",Diazomethane,0.76-0.86 mole,ether,0°C,2-2.5 hours,76-86%
volume41article6_1_1,"diethylamine, sodium hydroxide, trichloroacetyl chloride","73 g (1.00 mole), 40 g (1.00 mole), 200 g (1.10 moles)","N,N-Diethyl-2,2,2-trichloroacetamide",183-200 g,"ether, water","-10°C to -15°C, 10°C",1 hour,84-92%
volume41article6_2_1,"N,N-diethyl-2,2,2-trichloroacetamide, tri-n-butylphosphine","219 g (2.00 moles), 202 g (2.00 moles)","N,N-Diethyl-1,2,2-trichlorovinylamine",140-150 g,N/A,85-90°C,1 hour,69-74%
volume41article7_1_1,"85% potassium hydroxide pellets, methyl 4-methyl-4-nitrovalerate","118 g (1.78 moles), 300 g (1.71 moles)",4-Methyl-4-nitrovaleric acid,166-180 g,water,Gentle heating,20-25 minutes,60-65%
volume41article7_2_1,"4-methyl-4-nitrovaleric acid, potassium hydroxide","161 g (1 mole), 33.0 g (0.5 mole)","2,7-Dimethyl-2,7-dinitroöctane",50-65.5 g,methanol,20°C,8 hours,43-56%
volume41article8_1_1,"allyltriphenyltin, phenyllithium, 4-methyl-2-pentanone","50 g (0.127 mole), 113 ml (0.127 mole), 12.0 g (0.12 mole)","4,6-Dimethyl-1-hepten-4-ol",12.0-12.8 g,diethyl ether,Reflux,1 hour,70-75%
volume41article9_1_1,"Sodium, methyl hydrogen sebacate","1.1 g (0.05 g atom), 216 g (1.0 mole)",Dimethyl octadecanedioate,116-126 g,methanol,Boiling,30-40 hours,68-74%
volume41article10_1_1,"2-methyl-1,3-cyclohexanedione, methyl vinyl ketone, potassium hydroxide","63.1 g (0.5 mole), 52.6 g (0.75 mole), 0.25 g","1,6-dioxo-8a-methyl-1,2,3,4,6,7,8,8a-octahydronaphthalene",56-58 g,"methanol, benzene, pyrrolidine, ether","Reflux, room temperature","3 hours, 30 minutes, additional 15 minutes",63-65%
volume41article11_1_1,phenanthrene,10.0 g (0.056 mole),DIPHENALDEHYDE,9.2-11.4 g,methanol,-30°C,N/A,78-96%
volume41article12_1_1,phenanthrene,10 g (0.0562 mole),"3,8-Dimethoxy-4,5,6,7-dibenzo-1,2-dioxacyclooctane",11.5-12.5 g,dry methanol,"Room temperature, refrigerator","1 hour, several hours or overnight",75-82%
volume41article12_2_1,"3,8-dimethoxy-4,5,6,7-dibenzo-1,2-dioxacycloöctane, sodium hydroxide, ethyl alcohol","10 g (0.0368 mole), 50 ml, 200 ml",Diphenaldehydic acid,6.7-7.3 g,ethyl alcohol,reflux,15 minutes,81-88%
volume41article13_1_1,"magnesium turnings, allyl bromide, acrolein","153.0 g (6.28 g atoms), 351.0 g (2.90 moles), 104.0 g (1.86 moles)","1,5-Hexadien-3-ol",104-108 g,ether,"reflux, gentle refluxing, room temperature","3 hours, 1 hour, 2 hours",57-59%
volume41article13_2_1,"phosphorus tribromide, 1,5-hexadien-3-ol, hydrobromic acid","114 g (0.42 mole), 98 g (1.00 mole), 2 drops","1,3,5-Hexatriene",32.0-34.0 g,N/A,"10-15°C, 50°C","40 minutes, overnight, 2-2.5 hours",54-60%
