Index,Summary
0,
volume86article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 5-phenylcyclohexane-1,3-dione, methanol, concentrated sulfuric acid, iodine | 7.98 g (42.4 mmol), 80 mL, 1 mL, 23.7 g (93.4 mmol) | 5-Phenyl-1,3-dimethoxybenzene | 6.04-6.42 g | methanol | reflux (85°C) | 45 min | 66-71% |"
volume86article1_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Biaryl 1, lithium, chloroacetonitrile | 6.08 g (28.4 mmol), 435 mg (62.7 mmol), 5.40 mL (85.3 mmol) | (3,5-Dimethoxy-1-phenyl-cyclohexa-2,5-dienyl)-acetonitrile | 5.11 g, 1.17 g | THF | -78°C | 45 minutes, 20 minutes | 87-88% |"
volume86article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tert-butyl carbamate, sodium benzenesulfinate, benzaldehyde, formic acid | 13.00 g (110.9 mmol), 18.21 g (110.9 mmol), 11.48 mL (113.1 mmol), 24.3 mL (643 mmol) | tert-Butyl phenyl(phenylsulfonyl)methylcarbamate | 30.79 g | tetrahydrofuran, water | Room temperature | 18 hours | 80% |"
volume86article2_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| compound 1, anhydrous potassium carbonate | 29.95 g (86.20 mmol), 71.48 g (517.2 mmol) | (E)-tert-Butyl benzylidenecarbamate | 17.68 g (>99%) | tetrahydrofuran | reflux (80-85 °C) | 15 hours | >99% |"
volume86article2_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N-Boc-imine 2, propionaldehyde, (S)-proline | 5.00 g (24.4 mmol), 3.52 mL (48.7 mmol), 561 mg (4.87 mmol) | (1S,2S)-2-Methyl-3-oxo-1-phenylpropylcarbamate | 5.61 g | acetonitrile | 0°C | 12 hours | 87% |"
volume86article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
