Index,Summary
0,
volume96article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p,α,α-tribromoacetophenone, sodium hydroxide, hydrochloric acid | 89 g (0.25 mole), 50 g, N/A | p-Bromomandelic acid | 40-48 g | water | 10°C | 4-5 days | 69-83% |
| N/A | N/A | 4-nonylbenzoic acid | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |"
volume96article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| MeOH, 2,6-diisopropylaniline, AcOH, glyoxal | 250 mL, 210 mL (200 g), 1.0 mL (1.1 g), 60 mL (73 g) | N,N′-1,3-Bis(2,6-diisopropylphenyl)imidazolium chloride | 73 g | Et2O | 50°C, room temperature | 15 min, 10 hours | 89% |
| N,N′-1,4-bis(2,6-diisopropylphenyl)-1,4-diazabutadiene, paraformaldehyde, TMSCl | 2 × 43 g (0.23 mol), 2 × 3.4 g (0.23 mol), 2 × 15 mL (2 × 13 g) | p-Bromomandelic acid | 73 g | EtOAc | 70°C | 2 hours | 75% |"
volume96article2_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N,N′-1,3-bis(2,6-diisopropylphenyl)imidazolium chloride, t-BuOK | 52 g (0.12 mol), 18 g (0.15 mol) | N,N-1,3-Bis(2,6-diisopropylphenyl)-2-chloroimidazolium chloride | 45 g | THF | Room temperature | 10 hours | 80% |"
volume96article2_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N,N-1,3-Bis(2,6-diisopropylphenyl)-2-chloroimidazolium chloride, CsF, estradiol-enanthate | 14 g (31 mmol), 25 g (0.17 mol), 8.00 g (20.8 mmol) | 3-Fluoro-estradiol-enanthate | 7.39 g (92%) | anhydrous toluene | Room temperature, 120°C | 24 hours | 92% |"
volume96article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-(Methoxy-carbonyl)phenylboronic acid, 2,2-dimethyl-1,3-propanediol | 10.0 g (55.6 mmol), 6.40 g (61.5 mmol) | Methyl 4-(5,5-dimethyl-1,3,2-dioxaborinan-2-yl)benzoate | 12.5 g (50.4 mmol) | toluene | reflux | 2 hours | 91% |"
volume96article3_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Ni(cod)2, PCy3, CsF, 2-methoxynaphthalene, methyl 4-(5,5-dimethyl-1,3,2-dioxaborinan-2-yl)benzoate | 960 mg (3.49 mmol), 2.00 g (7.13 mmol), 5.80 g (38.2 mmol), 5.50 g (34.8 mmol), 9.50 g (38.3 mmol) | Methyl 4-(naphthalen-2-yl)benzoate | 6.12 g (23.3 mmol) | anhydrous toluene, dichloromethane | room temperature, reflux | 10 min, 17 hours | 67% |"
volume96article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| enantiopure lithium N-benzyl-N-(α-methylbenzyl)amide, α,β-unsaturated esters and amides | N/A | β-amino acid derivatives | N/A | N/A | N/A | N/A | N/A |
| lithium N-benzyl-N-(α-methylbenzyl)amide, lithium amides 18 and 21 | N/A | Conjugate addition products | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | β-amino ester | N/A | N/A | N/A | N/A | N/A |
| β-amino ester, electrophile | N/A | α-functionalised β-amino acid derivatives | N/A | N/A | N/A | N/A | N/A |
| β-amino enolates, electrophiles | N/A | α-fluoro, α-mercapto, and α-hydroxy-β-amino acid derivatives | N/A | N/A | N/A | N/A | N/A |
| lithium N-allyl-N-(α-methylbenzyl)amide or lithium N-but-3-enyl-N-(α-methylbenzyl)amide, α,β-unsaturated ester, Grubbs I catalyst | N/A | Cyclic β-amino acids | N/A | N/A | N/A | N/A | N/A |
| α,β-unsaturated ester, (R)-32, (-)-CSO, Tf2O, DTBMP | N/A | α-amino acid derivatives | N/A | N/A | N/A | N/A | N/A |"
volume96article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,2-diphenylethanone, anhydrous methanol, hydroxylamine hydrochloride, sodium acetate anhydrous | 11.76 g (59.9 mmol), 100 mL, 5.00 g (72.0 mmol), 7.38 g (90.0 mmol) | 1,2-diphenylethanone O-acetyl oxime | 14.50 g (57.2 mmol) | methanol | reflux | 2 hours | 96% |"
volume96article5_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2, N,N-dimethylformamide, cesium carbonate | 8.44 g (33.32 mmol), 100 mL, 15.64 g (48.0 mmol) | 2,3-Diphenyl-2H-azirine | 5.12 g (26.49 mmol) | N/A | 80°C | 1 hour | 79% |"
volume96article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p,α,α-tribromoacetophenone, water, sodium hydroxide, hydrochloric acid | 89 g (0.25 mole), 100-150 ml, 50 g, N/A | p-Bromomandelic acid | 40-48 g | water | <10°C | 4-5 days | 69-83% |
| salicylaldehyde, ethyl diazoacetate, concentrated H2SO4 | N/A | 3-ethoxycarbonyl benzofuran | 6.27 g | N/A | N/A | N/A | 83% |
| salicylaldehyde, ethyl diazoacetate, Brønsted acid, HBF4∙OEt2 | N/A | 3-ethoxycarbonyl benzofuran | N/A | N/A | N/A | N/A | High yielding |
| 3-(2-bromophenoxy)-acrylic acid ethyl ester, palladium catalyst | N/A | 3-ethoxycarbonyl benzofuran | yellow oil | N/A | N/A | N/A | 61% |
| 3-(2-iodophenoxy)acrylic acid ethyl ester, palladium catalyst | N/A | 3-ethoxycarbonyl benzofuran | 74% |
| (E)-3-phenoxyacrylates, palladium catalyst | N/A | 3-ethoxycarbonyl benzofuran | 81% |
| 3-coumaranones, palladium catalyst | N/A | 3-methoxycarbonyl benzofurans | N/A | methanol | N/A | N/A | N/A |
| methyl-2-bromophenylacetates, methyl formate, sodium hydride, copper catalyst | N/A | 3-methoxycarbonyl benzofuran | 88% |
| salicylaldehyde, ethyl 2-diazo-3-oxopropanoate, Rh(III) catalyst | N/A | 3-ethoxycarbonyl benzofuran | 72% |
| salicylaldehyde, ethyl 2-diazo-3-oxopropanoate, chiral phosphoric acids | N/A | (+)-paeoveitol, (-)-paeoveitol | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, N'-benzylidene benzofuran-3-carbohydrazides | N/A | N'-benzylidene benzofuran-3-carbohydrazides | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, leukotriene A4 hydrolase (LTA4H) inhibitors | N/A | LTA4H inhibitors | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, pterocarpene and coumestan-type heterocycles | N/A | pterocarpene and coumestan-type heterocycles | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, 3-carboxy 2-aryl benzofuran scaffold | N/A | 2-arylbenzofuran-3-carboxamide derivatives | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, paeoveitol | N/A | paeoveitol | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, paeoveitol, chiral phosphoric acids | N/A | (+)-paeoveitol, (-)-paeoveitol | N/A | N/A | N/A | N/A | N/A |
| 3-ethoxycarbonyl benzofuran, BRL-37959 and its analogs | N/A | BRL-37959 and its analogs | N/A | N/A | N/A | N/A | N/A |"
volume96article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-alkyl-but-2,3-dienoates, aldimines, tri-n-butylphosphine | N/A | Tetrahydropyridine derivatives | Over 90% isolated yields | N/A | N/A | N/A | N/A |
| 2-methyl-2,3-butadienoate, N-tosylimines | N/A | Tetrahydropyridines | N/A | N/A | N/A | N/A | N/A |
| 3-methyl-3,4-pentadienone, N-tosylimines | N/A | Cinnamyl tetrahydropyridyl ketone | N/A | N/A | N/A | N/A | N/A |
| Saccharin-derived cyclic ketimines | N/A | Functionalized tricyclic tetrahydropyridines | Good yields | N/A | N/A | N/A | N/A |
| Cyclic sulfamate | N/A | Tricyclic sulfamate | High yield | N/A | N/A | N/A | N/A |
| Vinylidenesuccinate, Gladiali's phosphepine (R)-P1 | N/A | Tetrasubstituted tetrahydropyridines | Almost quantitative yields, excellent diastereoselectivities and enantioselectivities | N/A | N/A | N/A | N/A |
| Amino acid-derived bifunctional N-acyl aminophosphine catalyst P2 | N/A | Chiral tetrahydropyridine derivatives | Excellent yields, high enantioselectivities | N/A | N/A | N/A | N/A |
| Saccharin-derived ketimines, spiro-phosphepine catalyst (R)-SITCP (P3) | N/A | Functionalized tricyclic tetrahydropyridines | Good yields, excellent enantioselectivities | N/A | N/A | N/A | N/A |
| Amino acid-based bifunctional phosphine P4 | N/A | Chiral sulfamate-fused tetrahydropyridines | High yields, excellent enantioselectivities | N/A | N/A | N/A | N/A |
| α-methylallenoates, imines, P-chiral [2.2.1] bicyclic phosphine, exo-(p-anisyl)-HypPhos (P5) | N/A | Enantioenriched guvacine derivatives | High yields, high enantioselectivities | N/A | N/A | N/A | N/A |
| α-methylallenoates, imines, PBu3 | N/A | Tetrahydropyridines, pyrrolines, pyrrolidines, piperidines | 4288 compounds, including a vast variety of functionalized tetrahydropyridines, pyrrolines, pyrrolidines, and piperidines | N/A | N/A | N/A | N/A |
| α-methylallenoates, imines, tributylphosphine | N/A | Tetrahydropyridines | Good yield | N/A | N/A | N/A | N/A |
| Allenoic acids, imines, tributylphosphine | N/A | Tetrahydropyridines | Good yield | N/A | N/A | N/A | N/A |
| Allenoic acids, imines, tributylphosphine | N/A | Octahydro-1,6-naphthyridin-4-ones | N/A | N/A | N/A | N/A | N/A |
| N/A | N/A | Immunoactivating octahydro-1,6-naphthyridin-4-ones | N/A | N/A | N/A | N/A | N/A |"
volume96article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p,α,α-tribromoacetophenone, water, sodium hydroxide, hydrochloric acid | 89 g (0.25 mole), 100-150 ml, 50 g, N/A | p-Bromomandelic acid | 40-48 g | cold water | below 10°C | 4-5 days | 69-83% |"
volume96article10_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| methyl-4-iodobenzoate, p-toluenesulfonic acid monohydrate, m-Chloroperoxybenzoic acid, 1,3,5-trimethoxybenzene | 13.1 g (50.0 mmol), 9.5 g (50 mmol), 11.7 g (67.8 mmol), 8.4 g (50 mmol) | (4-Methylbenzoate)(2ʹ,4ʹ,6ʹ-trimethoxyphenyl)iodonium tosylate | 26.3 g (43.8 mmol) | acetonitrile, MTBE | 75°C | 30 min | 88% |"
