Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume79article7_1_1,"4-bromoaniline, hydrochloric acid, sodium nitrite, morpholine, sodium bicarbonate","15.0 g (87 mmol), 36.4 mL (210 mmol), 6.30 g (91 mmol), 8.3 g (9.0 mL, 96 mmol), 130 mL",4-[(Bromophenyl)azo]morpholine,20.3 g,water,0°C,"20 min, 1 hour",85%
volume79article7_2_1,"triazene, methanol, tetrafluoroboric acid, palladium acetate, vinyltriethoxysilane","14.3 g (53 mmol), 125 mL, 23 mL (106 mmol), 0.12 g (0.53 mmol), 4.94 g (5.5 mL, 26 mmol)","trans-4,4'-Dibromostilbene","4.20 g, 0.70 g",methanol,"0°C, room temperature, 40°C, reflux","10 min, 10 min, 30 min, 20 min, 15 min",46.5%
volume79article8_1_1,"xylenes, indium powder, iodine","500 mL, 5.00 g (43.6 mmol), 16.57 g (65.32 mmol)",Indium(III) iodide,18.3 g (85%),xylenes,reflux (160-170°C),1-1.5 hours,85%
volume79article8_2_1,"xylenes, Indium(III) iodide, indium powder","400 mL, 18.30 g (36.93 mmol), 2.12 g (18.46 mmol)",Indium(I) iodide,6.14 g,ether,reflux,18 hours,92%
volume79article8_3_1,"methyl (R)-(−)-3-hydroxy-2-methylpropionate, imidazole, tert-butyldiphenylchlorosilane","10.00 g (84.67 mmol), 14.4 g (211 mmol), 23.1 mL (88.9 mmol)",(R)-3-(tert-Butyldiphenylsilyloxy)-2-methylpropanal,7.85 g,"N,N-dimethylformamide, pentane, water, brine, hexanes, diisobutylaluminum hydride","0°C, room temperature, -78°C","2 hours, 1 hour",86%
volume79article8_4_1,"(R)-(+)-3-butyn-2-ol, triethylamine, methanesulfonyl chloride","10.00 g (143 mmol), 39.7 mL (285 mmol), 16.6 mL (214 mmol)",(R)-3-Butyn-2-yl methanesulfonate,20.13 g,dichloromethane,-78°C,1 hour,95%
volume79article8_5_1,"(R)-3-(tert-butyldiphenylsilyloxy)-2-methylpropanal, (R)-methanesulfonate, PdCl2(dppf), indium(I) iodide","3.00 g, 1.50 g, 335 mg, 2.66 g","(2R,3S,4S)-1-(tert-butyldiphenylsilyloxy)-2,4-dimethyl-5-hexyn-3-ol",2.64 g,"THF, HMPA",N/A,1 hour,76%
volume79article9_1_1,"1-bromo-2-naphthoic acid, 3,5-dimethylphenol, dicyclohexylcarbodiimide, 4-(dimethylamino)pyridine","2.51 g (10.0 mmol), 1.23 g (10.1 mmol), 2.26 g (11.0 mmol), 244 mg (2.00 mmol)","3,5-Dimethylphenyl 1-bromo-2-naphthoate",3.28 g,dichloromethane,room temperature,12 hours,92%
volume79article9_2_1,"N,N-dimethylacetamide, 3,5-dimethylphenyl 1-bromo-2-naphthoate, palladium(II) acetate, triphenylphosphine, sodium acetate","130 mL, 3.24 g (9.12 mmol), 205 mg (0.913 mmol), 481 mg (1.83 mmol), 1.50 g (18.3 mmol)","1,3-Dimethyl-6H-benzo[b]naphtho[1,2-d]pyran-6-one",1.63 g (65%),DMA,130°C,12 hours,80%
volume79article9_3_1,"CBS-catalyst (S)-5, borane-THF complex, lactone 4","1.0 M in toluene (8.39 mL, 8.39 mmol), 1.0 M in THF (10.1 mL, 10.1 mmol), 1.84 g (6.71 mmol)","(M)-2-Hydroxymethyl-1-(2-hydroxy-4,6-dimethylphenyl)naphthalene",1.53 g,THF,30°C,2 hours,82%
