Index,Summary
0,
volume95article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate | 6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol) | ((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide | 6.39 g | methanol | 22°C | 64 hours | 85% |"
volume95article8_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N-benzyl-4-methyl-N-(phenylethynyl)benzene-sulfonamide, dichloro(2-pyridinecarboxylato)gold, ((tert-butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide | 4.69 g (13.0 mmol), 51.02 mg (0.13 mmol), 3.60 g (14.3 mmol) | tert-Butyl ((4-((N-benzyl-4-methylphenyl)sulfonamido)-5-phenyloxazol-2-yl)methyl)carbamate | 6.67 g | toluene | 90°C | 5.5 hours | 96% |"
volume96article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p,α,α-tribromoacetophenone, sodium hydroxide, hydrochloric acid | 89 g (0.25 mole), 50 g, N/A | p-Bromomandelic acid | 40-48 g | water | Below 10°C | 4-5 days | 69-83% |
| Various aryne precursors | N/A | Highly substituted aryne precursors | N/A | N/A | N/A | N/A | N/A |
| Heteroarynes, cyclic alkynes | N/A | Various strained intermediates | N/A | N/A | N/A | N/A | N/A |
| Arynes, β-ketoesters | N/A | Methyl 2-(2-acetylphenyl)acetate | N/A | N/A | N/A | N/A | N/A |
| Arynes, imides | N/A | Acyl-aminated arenes | N/A | N/A | N/A | N/A | N/A |
| Arynes, aniline derivatives | N/A | Acyl-aminated arenes | N/A | N/A | N/A | N/A | N/A |
| Arynes, heteroaryl systems | N/A | Heterocycles | N/A | N/A | N/A | N/A | N/A |
| Arynes, various substrates | N/A | Difunctionalized products | N/A | N/A | N/A | N/A | N/A |
| Arynes, trifluoromethyl ketones | N/A | Aryl trifluoromethyl ketones | N/A | N/A | N/A | N/A | N/A |
| Arynes, imides | N/A | Aryl imides | N/A | N/A | N/A | N/A | N/A |
| Arynes, anilines | N/A | Aryl amines | N/A | N/A | N/A | N/A | N/A |
| Arynes, various heteroatoms | N/A | Differentially substituted acyl-aminated arenes | N/A | N/A | N/A | N/A | N/A |
| Arynes, various heterocycles | N/A | Heterocycles | N/A | N/A | N/A | N/A | N/A |
| Arynes, various transformations | N/A | Various products | N/A | N/A | N/A | N/A | N/A |
| Arynes, natural product synthesis | N/A | Various natural products | N/A | N/A | N/A | N/A | N/A |"
volume96article23_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p,α,α-tribromoacetophenone, aluminum trichloride, chloroacetyl chloride | 89 g (0.25 mole), N/A, N/A | p-Bromomandelic acid | 40-48 g | water | <10°C | 4-5 days | 69-83% |
| acetylacetone, aluminum trichloride, chloroacetyl chloride | N/A, N/A, N/A | dichlorodione | 57-58% | N/A | N/A | N/A | N/A |
| dichlorodione | N/A | dichlorodiol | 40% | N/A | N/A | N/A | N/A |
| dichlorodiol | N/A | 1,2:4,5-diepoxypentane | 92% | N/A | N/A | N/A | N/A |
| R,R-3 | N/A | R,R-4 | >97% ee | N/A | N/A | N/A | N/A |
| R,R-4 | N/A | anti-1,3-diols | 61-96% | N/A | N/A | N/A | N/A |
| R,R-4 | N/A | epoxy alcohols | 56-79% | N/A | N/A | N/A | N/A |
| R,R-4 | N/A | differentially substituted anti-1,3-diols | 63-89% | N/A | N/A | N/A | N/A |
| R,R-4 | N/A | syn-1,3-diols | N/A | N/A | N/A | N/A | N/A |
| R,R-4 | N/A | bis-homoallylic diol | N/A | N/A | N/A | N/A | N/A |
| bis-homoallylic diol | N/A | acetal | N/A | N/A | N/A | N/A | N/A |
| acetal | N/A | methyl ketone | 64% | N/A | N/A | N/A | N/A |
| methyl ketone | N/A | diketone | 18% | N/A | N/A | N/A | N/A |
| bis-homoallylic diol | N/A | monoester | 62% | N/A | N/A | N/A | N/A |
| monoester | N/A | sulfonate ester | N/A | N/A | N/A | N/A | N/A |
| sulfonate ester | N/A | tetraene | N/A | N/A | N/A | N/A | N/A |
| tetraene | N/A | acetonide | N/A | N/A | N/A | N/A | N/A |
| acetonide | N/A | methyl ketone | 64% | N/A | N/A | N/A | N/A |
