Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume26article1_1_1,"Pyridine, heptoyl chloride, heptoic acid","15.8 g (16.1 ml, 0.2 mole), 14.8 g (15.5 ml, 0.1 mole), 13.0 g (14.1 ml, 0.1 mole)",Heptoic anhydride,19-20 g,benzene,60-65°C,10 minutes,78-83%
volume26article1_2_1,"p-chlorobenzoyl chloride, pyridine","17.5 g (0.1 mole), 50 ml (0.6 mole)",p-Chlorobenzoic anhydride,14.2-14.6 g,"cracked ice, concentrated hydrochloric acid",Warm on steam bath,5 minutes,96-98%
volume26article2_1_1,"80% lactic acid, benzene, concentrated sulfuric acid, allyl alcohol, anhydrous sodium acetate","675 g (6 moles), 300 ml, 5 ml, 1394 g (24 moles), 18 g",Allyl lactate,693-710 g,benzene,Reflux,N/A,89-91%
volume26article3_1_1,"nitroguanidine, zinc dust, glacial acetic acid, water, ammonium chloride, sodium bicarbonate","216 g (2.07 moles), 740 g (11.3 moles), 128 g (2.14 moles), 400 ml, 200 g, 220 g (2.62 moles)",aminoguanidine bicarbonate,180-182 g,"water, ethanol, ether",5-40°C,"8 hours, 1-5 minutes",63-64%
volume26article4_1_1,"aminoguanidine bicarbonate, formic acid","136 g (1 mole), 48 g (40 ml, 1.05 moles)","3-amino-1,2,4-triazole",80-81.6 g,N/A,120°C,5 hours,95-97%
volume26article5_1_1,"Potassium hydroxide, n-propyl alcohol, nitrosomethylurethan, phenylacetyl chloride","12 g (0.18 mole), 45 ml, 20 ml, 6.6 ml (7.7 g, 0.050 mole)",Benzyl chloromethyl ketone,7.0-7.1 g,"n-propyl alcohol, absolute ether","Steam bath, ice bath",2 hours,83-85%
volume26article6_1_1,"2-aminopyridine, hydrobromic acid, bromine, sodium nitrite, sodium hydroxide","150 g (1.59 moles), 790 ml (7 moles), 240 ml (4.7 moles), 275 g (4 moles), 600 g (15 moles)",2-Bromopyridine,216-230 g,ether,0°C,2 hours,86-92%
volume26article7_1_1,"n-butyl alcohol, methyl acrylate, hydroquinone, p-toluenesulfonic acid","371 g (5 moles), 861 g (10 moles), 20 g, 10 g",n-butyl acrylate,500-600 g,N/A,Boiling,6-10 hours,78-94%
volume26article8_1_1,"diethylene glycol, 1,1-di-(p-chlorophenyl)-2,2,2-trichloroethane, potassium hydroxide","400 ml, 49.5 g (0.14 mole), 63 g (1.12 mole)",DI-(p-chlorophenyl)acetic acid,27-28.5 g,water,reflux,6 hours,69-73%
volume26article9_1_1,"ethyl cyanoacetate, p-benzoquinone, ammonium hydroxide, concentrated hydrochloric acid","30 ml, 54 g (0.5 mole), 25 ml, 36 g (0.11 mole)","diethyl α,α'-dicyano-2,5-dihydroxy-p-benzenediacetate, 2,5-dihydroxy-p-benzenediacetic acid","36-41 g, 18 g","ethanol, water","40°C, reflux","1 hour, 20 hours","43-49%, 72%"
volume26article10_1_1,"Sodium, absolute ethanol, ethyl γ-veratrylbutyrate, ethyl formate","9.40 g (0.41 gram atom), 23.8 ml (0.41 mole), 47.85 g (0.19 mole), 29.6 g (0.40 mole)",Ester condensation product,27-29 g,absolute ether,"reflux, -10°C","10-11 hours, 4 hours, 72 hours",N/A
volume26article10_2_1,N/A,N/A,"6,7-Dimethoxy-3,4-dihydro-2-naphthoic acid",23-24 g,"90% phosphoric acid, sulfuric acid",-10 to 0-10°C,2 hours,N/A
volume26article10_3_1,Ester,N/A,"6,7-Dimethoxy-3,4-dihydro-2-naphthoic acid",18-19 g,"10% sodium hydroxide solution, ethanol",Reflux,5 hours,40-43%
volume26article11_1_1,"ethyl cyanoacetate, butyraldehyde, palladium on carbon, piperidine","56.6 g (0.5 mole), 43.2 g (0.6 mole), 1 g, 2.0 ml (0.02 mole)",ethyl n-butylcyanoacetate,79-81 g,"glacial acetic acid, benzene",N/A,1-2 hours,94-96%
volume26article12_1_1,"92% ethylenediamine, carbon disulfide","120 g (1.83 moles), 121 ml",Ethylene thiourea,156-167 g,"ethanol, water","Reflux, 60°C, 100°C","1 hour, 9-10 hours",83-89%
volume26article13_1_1,"Crab shells, hydrochloric acid","200 g, excess",d-Glucosamine hydrochloride,24-28 g,"dilute hydrochloric acid, concentrated hydrochloric acid, water, Norit, 95% ethanol","Room temperature, boiling water bath, 60°C","4-6 hours, 2.5 hours, 1 hour",60-70%
volume26article14_1_1,"ethanolamine, acetone","61.0 g (1.0 mole), 75.4 g (94 ml, 1.3 moles)",2-isopropylaminoethanol,97-98 g,"ethanol, benzene",N/A,6-10 hours,94-95%
volume26article15_1_1,"tetrahydroquinoline, trimethylene chlorobromide","66.5 g (0.5 mole), 400 g",julolidine,67-70 g,N/A,150-160°C,20 hours,77-81%
volume26article16_1_1,"Potassium, ethyl oxalate, ethyl succinate","39.5 g (1 gram atom), 146 g (1 mole), 174 g (1 mole)",Ethyl oxalylsuccinate,225-227 g,anhydrous ether,Room temperature,N/A,82-83%
volume26article16_2_1,"ester (diethyl succinate), concentrated hydrochloric acid",N/A,α-Ketoglutaric acid,110-112 g,N/A,140°C,overnight,92-93%
volume26article17_1_1,"2-chlorolepidine, anhydrous sodium acetate, glacial acetic acid","20 g (0.11 mole), 9.3 g (0.11 mole), 200 ml",Lepidine,13-14 g,glacial acetic acid,55-70°C,1.5-2 hours + 30 minutes,81-87%
volume26article18_1_1,"Potassium hydroxide, guaiacol, copper powder, bromobenzene","29.4 g (0.43 mole), 75 g (0.60 mole), 0.3 g, 81 g (0.51 mole)",2-methoxydiphenyl ether,54-61 g,"water, ether",150°C,2 hours,62-67%
volume26article19_1_1,"potassium hydroxide, methyl hydrogen adipate, silver nitrate, bromine","33 g (0.5 mole), 80 g (0.5 mole), 85 g (0.5 mole), 117 g (40 ml, 0.73 mole)",Methyl 5-bromovalerate,101-106 g,"water, carbon tetrachloride",100-110°C,"36 hours, 1 hour",65-68%
volume26article20_1_1,"Ethyl crotonate, sodium cyanide, barium hydroxide octahydrate, nitric acid","114 g (1.0 mole), 54 g (1.06 moles), 150 g, 171 ml",Methylsuccinic acid,87-93 g,"ethanol, water, benzene, ether","Reflux, steam bath","5 hours, 4 hours, N/A",66-70%
volume26article21_2_1,"diethyl α,δ-dibromoadipate, potassium hydroxide, methanol","1130 g (3.14 moles), 3 kg, 5 L",Muconic acid,165-195 g,methanol,"Steam bath, room temperature","2 hours, overnight",37-43%
volume26article22_1_1,"sodium metaarsenite, sodium hydroxide, cuprous chloride, p-nitrobenzenediazonium borofluoride, p-nitroaniline, sodium hydroxide solution, hydrochloric acid, ammonium hydroxide solution","52 g (0.4 mole), 16 g (0.4 mole), 6 g, 0.25 mole, N/A, 0.25 mole, N/A, 10%",p-nitrophenylarsonic acid,44-48.5 g,water,N/A,"1 hour, 1 hour, 30 minutes",71-79%
volume26article23_1_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_2_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_3_1,N/A,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_4_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
volume26article23_5_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
volume26article23_6_1,Oxygen,N/A,Ozone,N/A,N/A,N/A,N/A,N/A
volume26article23_8_1,Unsaturated organic compound,N/A,Ozonized compound,N/A,"Suitable solvent (e.g. glacial acetic acid, methyl chloride, ethyl chloride, carbon tetrachloride)",N/A,Calculated time,N/A
volume26article24_1_1,"palladium chloride, hydrochloric acid, water, barium hydroxide octahydrate, sulfuric acid, formaldehyde solution, sodium hydroxide solution","8.2 g (0.046 mole), 20 ml (0.24 mole), 50 ml, 126.2 g (0.4 mole), 120 ml (0.36 mole), 8 ml (0.1 mole), N/A",Palladium on barium sulfate catalyst (5% Pd),93-98 g,water,80°C,N/A,N/A
volume26article24_2_1,"Darco G-60, palladium chloride, hydrochloric acid, formaldehyde solution, sodium hydroxide solution","93 g, 8.2 g (0.046 mole), 20 ml (0.24 mole), 50 ml, 8 ml (0.1 mole)",Palladium on carbon catalyst (5% Pd),93-98 g,water,80°C,5 minutes,N/A
volume26article24_3_1,"Palladium chloride, hydrochloric acid, water","8.2 g (0.046 mole), 20 ml (0.24 mole), 50 ml",Palladium chloride on carbon (5% Pd),98-100 g,N/A,N/A,N/A,N/A
volume26article24_4_1,"Palladium chloride, hydrochloric acid, sodium acetate trihydrate, Norit","8.33 g, 5.5 ml, 40 ml, 135 g",Palladium on carbon catalyst (10% Pd),48-50 g,water,Steam bath,1-2 hours,N/A
volume26article25_1_1,"Tetrahydrofurfuryl alcohol, copper chromite","510 g (5 moles), 50 g","1,5-pentanediol",200-244 g,N/A,255-310°C,9 hours,40-47%
volume26article26_1_1,"Pyrogallol monomethyl ether, lead dioxide, o-phenylenediamine","10 g (0.07 mole), 200 g (0.42 mole), 6 g (0.06 mole)",α-Methoxyphenazine,5 g,"benzene, glacial acetic acid",Room temperature,1.5 hours,33%
volume26article26_2_1,"α-methoxyphenazine, hydrobromic acid","4.2 g (0.02 mole), 125 ml",α-Hydroxyphenazine,2.7 g,water,110-120°C,5 hours,70%
volume26article26_3_1,"α-hydroxyphenazine, methyl sulfate","2 g (0.011 mole), 13.4 g (10 ml, 0.1 mole)",Pyocyanine,1.35 g,"ether, chloroform","100°C, room temperature","10 minutes, N/A",58%
volume26article27_1_1,"2-hydroxy-3-methoxybenzaldehyde, sodium hydroxide, hydrogen peroxide","60.8 g (0.4 mole), 200 ml (0.4 mole), 284 ml (0.5 mole)",Pyrogallol 1-monomethyl ether,38-44.5 g,water,40-50°C,1 hour,68-80%
volume26article28_1_1,"Phenyl salicylate, o-toluidine","42.8 g (0.2 mole), 26.7 g (0.25 mole)",Salicyl-o-toluide,33-35 g,"1,2,4-trichlorobenzene",Boiling,N/A,73-77%
volume26article29_1_1,"p-methylacetophenone, concentrated nitric acid, water, sodium hydroxide, potassium permanganate, concentrated sulfuric acid","100 g (0.75 mole), 250 ml (4 moles), 1 l, 35 g, 300 g (1.9 moles), 108 ml, 400 ml",Terephthalic acid,105-109 g,water,"Reflux, boiling","4 hours, 2 hours",84-88%
volume26article30_1_1,"o-toluanilide, phosphorus pentachloride, anhydrous stannous chloride","30 g (0.14 mole), 30 g (0.14 mole), 50 g (0.26 mole)",o-tolualdehyde,10.5-12 g,"benzene, dry ether","50°C, room temperature","15 minutes, 12 hours",62-70%
volume27article1_1_1,"Barium hydroxide octahydrate, β-aminopropionitrile","185 g (0.55 mole), 70.1 g (1.00 mole)",β-alanine,75-80 g,"water, methanol",90-95°C,40 minutes,85-90%
volume27article2_1_1,"Ammonium hydroxide, acrylonitrile","400 ml, 100 ml (80 g, 1.5 moles)","β-Aminopropionitrile, bis-(β-cyanoethyl)-amine","130-140 g, 210 g",N/A,N/A,A few hours or overnight,"31-33%, 57%"
volume27article3_1_1,Benzalacetone,100 g (0.68 mole),Benzalacetone dibromide,110-120 g,carbon tetrachloride,10-20°C,4-5 minutes,52-57%
volume27article4_1_1,"magnesium turnings, allyl chloride","82 g (3.5 gram atoms), 459 g (6 moles)",biallyl,135-160 g,ether,Room temperature,5 hours,55-65%
volume27article5_1_1,"benzalacetone dibromide, anhydrous sodium acetate","100 g (0.33 mole), 30 g (0.37 mole)",α-Bromobenzalacetone,47-54 g,ethanol,reflux,4 hours,64-73%
volume27article6_1_1,"2-amino-2-methyl-1-propanol, concentrated sulfuric acid, sodium hydroxide","100 g (107 ml, 1.12 moles), 110 g (60 ml, 1.06 moles), 100 g (2.5 moles)","2,2-Dimethylethylenimine",36-41 g,water,"115°C, 175°C, 125°C",N/A,45-51%
