Index,Summary
0,
volume61article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Pyruvic acid, α,α-dichloromethyl methyl ether | 35.2 g (28.6 mL, 0.40 mol), 46.4 g (36.1 mL, 0.40 mol) | Pyruvoyl chloride | 18.6-21.2 g | N/A | 50°C | 30 min | 44-50% |"
volume61article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| monoethyl malonate, butyllithium, isobutyryl chloride | 19.8 g (0.150 mol), approx. 190 mL, 7.90 mL (7.98 g, 75 mmol) | Ethyl 2-butyrylacetate | 11.70 g | tetrahydrofuran | -70°C to -10°C | 5 minutes | 98% |"
volume61article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| amylbenzene, aluminum chloride, oxalyl chloride | 10 g (11.6 mL, 0.067 mol), 8.9 g (0.067 mol), 17.1 g (11.5 mL, 0.135 mol) | 4-pentylbenzoyl chloride | 7.80-7.82 g | methylene chloride | 20-25°C | 1 hour | 55% |"
volume61article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzaldehyde, 5-aminotetrazole, triethylamine | 21.2 g (0.2 mol), 17.2 g (0.2 mol), 20.2 g (0.2 mol) | 5-Benzylaminotetrazole | 27.5 g | methanol | 50°C | 18 hours | 80% |
| 5-benzylaminotetrazole, sodium hydroxide, NaOBr | 10.5 g (60 mmol), 100 mL, 165 mL | Benzyl isocyanide | 5.91 g | dichloromethane | 0°C | 15 minutes | 84% |"
volume61article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,2,2-trichloroethyl chloroformate, hydrazine hydrate, sodium carbonate | 96 g (0.46 mol), 13.34 g (0.23 mol), 25 g (0.24 mol) | Bis (2,2,2-trichloroethyl)hydrazodicarboxylate | 80.8 g (93%) | 95% ethanol | Below 20°C | 30 minutes | N/A |
| Bis (2,2,2-trichloroethyl)hydrazodicarboxylate, fuming nitric acid | 78.55 g (0.21 mol), 53.2 mL (1.26 mol) | Bis (2,2,2-trichloroethyl) azodicarboxylate | 59.2 g (75.8%) | chloroform | 0°C to room temperature | 4 hours + 2 hours | 75.8% |"
volume61article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Acetic acid, manganese acetate tetrahydrate, potassium permanganate, acetic anhydride, 1-decene, anhydrous sodium acetate | 558 g, 107.6 g (0.439 mol), 16.5 g (0.104 mol), 175 mL (189 g, 1.86 mol), 44.0 g (0.312 mol), 250 g | γ-(n-octyl)-γ-butyrolactone | 34.1 g | benzene | reflux (134°C pot temperature) | 2 hours | 66% (based on potassium permanganate)"
volume61article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| diethyl tartrate, dimethylamine | 618 g (3 mol), at least 450 mL (7 mol) | (R,R)-( + )-N,N,N',N'-Tetramethyltartaric acid diamide | 570-580 g (93-95%) | methanol | -78°C | 3 days | 93-95% |
| tartaric acid diamide, sodium hydroxide, methylene chloride, benzyltriethylammonium chloride, dimethyl sulfate | 204 g (1 mol), 240 mL (3 mol), 1.5 L, 0.2 g, 260 g (2.06 mol) | (R,R)-( + )-2,3-Dimethoxy-N,N,N',N'-tetramethylsuccinic acid diamide | 220 g (95%) | methylene chloride | reflux | 24 hours | 95% |
| lithium aluminum hydride, tetrahydrofuran, (R,R)-( + )-2,3-Dimethoxy-N,N,N',N'-tetramethylsuccinic acid diamide | 60 g (1.6 mol), 2.2 L, 232 g (1.0 mol) | (S,S)-( + )-1,4-Bis (dimethylamino)-2,3-dimethoxybutane | 180 g (88%) | tetrahydrofuran | boiling | 2 hours | 88% |"
volume61article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromine, sodium cyanide, phenol, triethylamine | 160 g (50.9 mL, 1.0 mol), 49.0 g (1.0 mol), 89.5 g (0.95 mol), 96.0 g (131 mL, 0.95 mol) | phenyl cyanate | 85-96 g | water, tetrachloromethane | -5 to 5°C | 40-50 min (addition of sodium cyanide), 30-40 min (addition of triethylamine), 15 min (stirring) | 75-85% |"
volume61article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium tert-butoxide, 1,2-dimethyl-1,4-cyclohexadiene, bromoform | 44.8 g (0.4 mol), 38.0 g (0.35 mol), 102.4 g (0.4 mol) | 7,7-Dibromo-1,6-dimethylbicyclo[4.1.0]hept-3-ene | 55-62 g | petroleum ether | Room temperature | 6 hours | 56.5-63.5% |
| 7,7-dibromo-1,6-dimethylbicyclo[4.1.0]hept-3-ene, ethereal methyllithium | 20.95 g (0.075 mol), 50 mL (0.08 mol) | 1,6-Dimethyltricyclo[4,1.0.02,7]hept-3-ene | 4.2-4.4 g | anhydrous ether | Room temperature | 1 hour | 46-49% |"
volume61article10_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (S,S)-( + )-N,N,N',N'-tetramethyl-1,4-diamino-2,3-dimethoxybutane, butyllithium, benzaldehyde | 24.6 g (27.5 mL, 0.12 mol), 0.021 mol (13.5 mL of a 1.56 M solution in hexane), 2.12 g (0.020 mol) | (R)-( + )-1-phenyl-1-pentanol | 2.60-2.95 g | 2-methylbutane, methylcyclohexane/isopentane, ice-cold 2 N aqueous hydrochloric acid, saturated aqueous bicarbonate, saturated aqueous sodium chloride, saturated aqueous sodium bisulfite | -78°C, -140°C, 0°C | 0.5 hours | 80-90% |"
volume61article11_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| S-tert-butyl cyclohexanecarbothioate, tert-butyl alcohol, mercury(II) trifluoroacetate | 5.56 g (0.028 mol), 5.55 g (0.075 mol), 23.7 g (0.056 mol) | tert-butyl cyclohexanecarboxylate | 4.6 g | acetonitrile, hexane | N/A | 45 min | 90% |"
volume61article12_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| diethyl bis(hydroxymethyl)malonate, hydrobromic acid | 55.0 g (0.25 mol), 142 mL (1.25 mol) | α-(Bromomethyl)acrylic acid | 17.9 g | N/A | 85-90°C | 10 hours | 43% |
| α-(Bromomethyl)acrylic acid, benzene, absolute ethanol, concentrated sulfuric acid | 42.0 g (0.25 mol), 300 mL, 100 mL, 1 mL | Ethyl α-(bromomethyl)acrylate | 33-34 g | benzene, ethanol | Boiling | 36 hours | 71% |"
volume61article13_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-anisic acid, sodium, 1-bromoheptane, 1,2-dibromoethane | 15.2 g (0.1 mol), N/A, 21.49 g (0.12 mol), 1.0 mL (2.4 mmol) | 2-heptyl-2-cyclohexenone | 9.0-11.5 g | tetrahydrofuran, ammonia | N/A | N/A | 46-59% |"
volume61article14_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Aluminum trichloride, 2-butyne | 5.0 g, 100 g (1.85 mol) | Hexamethyl Dewar benzene | 38-50 g | benzene | 30-40°C | 5 hours | 38-50% |"
volume61article15_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-cyclopentenone, bromine, triethylamine | 18.98 g (231.2 mmol), 40.5 g (253.4 mmol), 35.1 g (346.8 mmol) | 2-Bromo-2-cyclopentenone | 23.7 g | carbon tetrachloride | 0°C, room temperature | 2 hours | 64% |
| 2-bromo-2-cyclopentenone, ethylene glycol | 22.00 g (136.7 mmol), 21.80 g (351.2 mmol) | 2-Bromo-2-cyclopentenone ethylene ketal | 22.4 g | benzene | reflux | 64 hours | 80% |
| 2-bromo-2-cyclopentenone ethylene ketal, paraformaldehyde | 19.4 g (94.6 mmol), 13 g (433 mmol) | 2-Hydroxymethyl-2-cyclopentenone | 8.1-10.7 g | tetrahydrofuran | -78°C, -30°C | 1 hour | 46% |"
volume61article16_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| quinoline, calcium carbonate, thiophosgene | 62.5 mL (68.4 g, 0.53 mol), 55 g (0.55 mol), 37.5 mL (56.5 g, 0.49 mol) | o-isothiocyanato-(E)-cinnamaldehyde | 78-83 g | dichloromethane, water | 10-15°C, ambient temperature | overnight | 84-89% |"
