Index,Summary
0,
volume71article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| [RuCl2(benzene)]2, (R)-BINAP | 130.5 mg, 341 mg | [(R)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl]ruthenium(II) complex | 500 mg | N,N-Dimethylformamide (DMF) | 100°C | 10 min | N/A |"
volume71article1_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| methyl 3-oxobutanoate, methanol, (R)-BINAP-Ru(II) complex | 50.0 g (0.431 mol), 50 mL, 175 mg | (R)-Methyl 3-hydroxybutanoate | 47-49 g | dichloromethane | 100°C | 6 hours | 92-96% |"
volume71article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| titanium(IV) bromide, titanium(IV) isopropoxide | 7.3 g (20 mmol), 5.9 mL (20 mmol) | Diisopropoxytitanium(IV) dibromide | 5.7 g (44%) | hexane | ambient temperature | 6 hours | 44% |"
volume71article2_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(+)-1,1'-bi-naphthol, diisopropoxytitanium dibromide, α-methylstyrene, methyl glyoxylate | 100 mg, 1.75 mL, 14 mL, 6.16 g | Methyl (2R)-2-hydroxy-4-phenyl-4-pentenoate | 12.1 g | methylene chloride, toluene | -35°C to -30°C | 6 hours | 84% |"
volume71article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzil, ammonium acetate, cyclohexanone | 158 g (0.75 mol), 400 g, 80 mL (0.77 mol) | 2,2-Spirocyclohexane-4,5-diphenyl-2H-imidazole | 205-210 g | glacial acetic acid | reflux | 1.5 hours | 95-97% |"
volume71article3_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,2-spirocyclohexane-4,5-diphenyl-2H-imidazole, ammonia, lithium, ethanol, ammonium chloride, hydrochloric acid, sodium hydroxide | 72.0 g (0.250 mol), N/A, 6.94 g (1.00 mol), 30 mL (1.0 mol), 70 g, 300 mL, 300 mL, 300 mL | (±)-1,2-Diphenyl-1,2-ethylenediamine | 47-50 g | tetrahydrofuran | -78°C | 1 hour | 89-94% |"
volume71article3_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| racemic diamine, L-(+)-tartaric acid, sodium hydroxide | 42.5 g (0.200 mol), 30.0 g (0.200 mol), 23 mL | (1S,2S)-(−)-1,2-Diphenyl-1,2-ethylenediamine | 12-14 g | ethanol | 70°C | N/A | 63-69% |
| racemic diamine, L-(+)-tartaric acid, sodium hydroxide | 42.5 g (0.200 mol), 30.0 g (0.200 mol), 23 mL | (1R,2R)-(+)-1,2-Diphenyl-1,2-ethylenediamine | 29-31 g | water | 0-5°C | 30 min | 80-85% |"
volume71article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-1,2-diphenylethylenediamine, triethylamine, 4-dimethylaminopyridine, trifluoromethanesulfonic anhydride | 1.06 g (5 mmol), 2.1 mL (15 mmol), 12.2 mg (0.1 mmol), 3.39 g (12 mmol) | Bistriflamide of (1S,2S)-1,2-diphenylethylenediamine | 1.64 g | methylene chloride | -78°C to ambient temperature | 30 min | 69% |"
volume71article4_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-oxazolidinone, methylmagnesium bromide, 3-bromopropionyl chloride | 8.71 g (100 mmol), 33.3 mL (100 mmol), 11.6 mL (115 mmol) | Acryloyl-2-oxazolidinone | 5.81 g | tetrahydrofuran | 0°C, ambient temperature | 10 min, 3 hours | 41% |"
volume71article4_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bistriflamide of (1S,2S)-1,2-diphenylethylenediamine, 1,2-Dichloroethane, trimethylaluminum, acryloyl-2-oxazolidinone, cyclopentadiene | 1.31 g (2.75 mmol), 20 mL, 1.37 mL (2.74 mmol), 7.76 g (55 mmol), 5.7 mL (71 mmol) | (1S-endo)-3-(bicyclo[2.2.1]hept-5-en-2-ylcarbonyl)-2-oxazolidinone | 10.1 g | 1,2-Dichloroethane, methylene chloride, heptane | 80°C, -78°C | 3 hours, 5 minutes, 15 minutes | 89% |"
volume71article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| poly-[(R)-3-hydroxybutyric acid], 1,2-dichloroethane, sulfuric acid, methanol | 50 g (0.58 mol), 500 mL, 10 mL, 200 mL | (R)-(−)-methyl 3-hydroxybutanoate | 48 g | 1,2-dichloroethane, methanol | reflux | 3 days | 70% |"
volume71article5_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
