Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume92article21_1_1,"boric acid, toluene, 4-penten-1-ol","886 mg (14.3 mmol), 70 mL, 4.48 mL (43.4 mmol)",Tripent-4-enyl borate,N/A,toluene,reflux,1.5 hours,N/A
volume92article21_2_1,"Tripent-4-enyl borate, Cp2ZrHCl",N/A,Tris[5-(bis(cyclopentadienyl)zirconium(IV)chloride)pentyl] borate,N/A,THF,24°C,2 hours,N/A
volume92article21_3_1,"tris[5-(bis(cyclopentadienyl)zirconium(IV)chloride)pentyl] borate, 2-cyclohexen-1-one, CuBr●Me2S","N/A, 4.58 mL (47.3 mmol), 884 mg (4.30 mmol)",3-(5-Hydroxypentyl)cyclohexan-1-one,5.20 g,Et2O,24°C,2 hours,66%
volume94article27_1_1,"nitromethane, N,N-dimethylformamide, 1,8-diazabicycloundec-7-ene, benzenesulfinic acid sodium salt, iodine","9.0 mL, 180 mL, 27.4 mL, 22.50 g, 31.85 g",Phenylsulfonylnitromethane,10.00 g,"water, Et2O","0°C, room temperature",1 hour,36%
volume94article28_1_1,"(R)-bromonitroalkane, D-phenylalanine benzyl ester hydrochloride, cesium carbonate, N-Iodosuccinimide","8.90 g (19.7 mmol), 7.10 g (23.7 mmol), 20.64 g (63.1 mmol), 4.47 g (19.7 mmol)",Benzyl ((R)-2-(4-(benzyloxy)phenyl)-2-((tert-butoxycarbonyl)amino)acetyl)-D-phenylalaninate,6.59 g,"deionized water, 2-Me-THF, EtOAc, sat. aq. Na2S2O3, toluene/cyclohexane",Room temperature,24 hours,56%
volume95article1_1_1,"acetophenone, pyridine, ethanol, hydroxylamine hydrochloride","9.33 mL (80.0 mmol), 18 mL (223 mmol), 40 mL, 8.33 g (120 mmol)",Acetophenone O-acetyl oxime,9.41 g (53.1 mmol),ethyl acetate,60°C,75 min,66%
volume95article1_2_1,"1, copper(I) iodide, cinnamaldehyde, diisopropylamine, DMSO","6.19 g (34.9 mmol), 1.33 g (6.98 mmol), 6.6 mL (52 mmol), 9.8 mL (70 mmol), 175 mL","2,4-Diphenylpyridine",5.17 g (22.4 mmol),N/A,60°C,16 hours,64%
volume95article2_1_1,"tris(2,4-di-tert-butylphenyl)phosphite, chloro(dimethyl sulfide)gold","0.647 g (1.00 mmol), 0.295 g (1.00 mmol)","Chloro[tris(2,4-di-tert-butylphenyl)phosphite]gold (I)",0.879 g,dichloromethane,23°C,1 hour,quantitative yield
volume95article2_2_1,"N-Hydroxy-N-phenylacetamide, 1-hexyne, zinc trifluoromethanesulfonate, chloro[tris(2,4-di-tert-butylphenyl)phosphite]gold (I), silver bis(trifluoromethanesulfonyl)imide","6.046 g (40.0 mmol), 6.50 mL (4.60 g, 56.0 mmol), 0.731 g (2.0 mmol), 176 mg (0.2 mmol), 78 mg (0.2 mmol)",1-(2-Butyl-1H-indol-1-yl)ethanone,7.77 g,toluene,60°C,24 hours,90%
