Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume95article8_1_1,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate","6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol)",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,22°C,64 hours,85%
volume79article21_1_1,"magnesium turnings, 1-bromo-3,4,5-trifluorobenzene, tetrahydrofuran, trimethyl borate","1.94 g (80 mmol), 8.36 mL (14.8 g, 70.0 mmol), 50 mL, 15.7 mL (14.5 g, 140 mmol)","(3,4,5-Trifluorophenyl)boronic acid",6.3 g (51%),"ether, THF","reflux, 0°C, room temperature","2 hours, 1 hour",51%
volume79article21_2_1,"4-phenylbutyric acid, benzylamine, (3,4,5-trifluorophenyl)boronic acid","5.42 g (33.0 mmol), 3.28 mL (30.0 mmol), 52.8 mg (0.300 mmol)",N-Benzyl-4-phenylbutyramide,7.11-7.18 g,toluene,reflux (120°C),16 hours,94-95%
volume79article23_1_1,"hydroxylamine hydrochloride, anhydrous sodium sulfate, 2,2,2-trichloro-1-ethoxyethanol, 2-fluoroaminobenzene","62.0 g (0.89 mol), 256.7 g (1.80 mol), 79.5 g (0.41 mol), 30 g (0.27 mol)",N-(2-Fluorophenyl)-2-(hydroxyimino)acetamide,43.6 g,"water, concd hydrochloric acid",reflux,60 hours,86%
volume79article23_2_1,Anilide 2,30.0 g (0.165 mol),7-Fluoroisatin,12.9-15.7 g,concd sulfuric acid,"70°C, 90°C",60 min,47-57%
volume79article23_3_1,"7-fluoroisatin, sodium hydroxide, hydrogen peroxide","15.0 g (0.09 mol), 200 mL, 22 mL",2-Amino-3-fluorobenzoic acid,11.64-13.3 g,water,30-40°C,1.5 hours,84-96%
volume79article24_1_1,"succinic anhydride, bromobenzene, aluminum chloride","10.01 g (0.1000 mol), 96.87 g (0.6170 mol), 26.67 g (0.2000 mol)",3-(4-bromobenzoyl)propanoic acid,24.23 g,dry argon,room temperature,96 hours,94%
volume80article3_1_1,"(1S,2R)-1,2-diphenyl-2-hydroxyethylamine, ethyl bromoacetate, triethylamine","25 g (0.117 mol), 29 g (0.176 mol), 24 g (0.234 mol)","Ethyl (1'S,2'R)-N-(1',2'-diphenyl-2'-hydroxyethyl)glycinate","29.01 g, 28.96 g",tetrahydrofuran,room temperature,20 hours,83%
volume80article3_2_1,"saturated aqueous sodium bicarbonate, sodium chloride, ethyl (1'S,2'R)-N-(1',2'-diphenyl-2'-hydroxyethyl)glycinate, di-tert-butyl dicarbonate","167 mL, 34.2 g (0.585 mol), 25 g (0.084 mol), 36.5 g (0.167 mol)","Ethyl (1'S,2'R)-N-tert-butyloxycarbonyl-N-(1',2'-diphenyl-2'-hydroxyethyl)glycinate",33.2 g,chloroform,reflux,20 hours,N/A
volume80article3_3_1,"crude ethyl (1'S,2'R)-N-tert-butyloxycarbonyl-N-(1',2'-diphenyl-2'-hydroxyethyl) glycinate, p-toluenesulfonic acid monohydrate","33.2 g (0.083 mol), 1.90 g (0.010 mol)","(5S,6R)-4-tert-Butoxycarbonyl-5,6-diphenylmorpholin-2-one","21.7 g, 20.3 g",benzene,reflux,10 hours,71%
volume80article6_1_1,"dibenzofuran, tetramethylethylenediamine, sec-butyllithium, carbon dioxide","10.0 g (59.4 mmol), 27 mL (179 mmol), 137 mL (178 mmol), gaseous","Dibenzofuran-4,6-dicarboxylic acid",14.5 g,diethyl ether,"-78°C, 25°C",24 hours,96%
volume80article6_2_1,"diacid 2, thionyl chloride","5.0 g (19.6 mmol), 44 mL (600 mmol)","Dibenzofuran-4,6-dicarbonyl chloride",5.12 g,chloroform,68°C,3 hours,90%
volume80article6_3_1,"diacid chloride 3, (R)-phenylglycinol, triethylamine","5.00 g (17.07 mmol), 5.18 g (37.74 mmol), 5.26 mL (37.74 mmol)","(R,R)-Dibenzofuran-4,6-dicarboxylic acid bis(2-hydroxy-1-phenylethyl) amide",5.9-7.5 g,CHCl3,0°C,15 hours,70-88%
volume80article7_1_1,"(S)-N-(tert-butoxycarbonyl)valine, dimethylformamide, potassium hydrogen carbonate, methyl iodide","65.2 g (0.300 mol), 440 mL, 60.1 g (0.600 mol), 29.9 mL (0.480 mol)",N-(tert-Butoxycarbonyl)-L-valine methyl ester,69.4 g,DMF,N/A,3 hours,N/A
volume80article7_2_1,"magnesium turnings, bromobenzene","25.5 g (1.05 mol), 15.7 g (0.100 mol)",Phenylmagnesium bromide,N/A,tetrahydrofuran (THF),reflux,1 hour,N/A
volume80article7_3_1,"N-(tert-butoxycarbonyl)-L-valine methyl ester, Grignard solution","69.4 g (0.30 mol), N/A","(S)-[1-(Hydroxydiphenylmethyl)-2-methylpropyl]carbamic acid, tert-butyl ester","77.1 g (72%), 12.5 g (12%), 11.3 g (11%)","THF, ethyl acetate, hexane","Below 6°C, room temperature",15 hours,"72%, 12%, 11%"
volume80article7_4_1,"(S)-[1-(hydroxydiphenylmethyl)-2-methylpropyl]carbamic acid, tert-butyl ester, potassium tert-butoxide","97.8 g (0.275 mol), 37.0 g (0.330 mol)","(4S)-4-(1-Methylethyl)-5,5-diphenyl-2-oxazolidinone",72.5 g,THF,Below 5°C,2 hours,94%
volume80article13_1_1,"methyl 5-hexenoate, chlorotitanium triisopropoxide, n-butylmagnesium chloride","2.0 g (15.6 mmol), 11.2 mL (11.2 mmol), 52 mL (52 mmol)",Bicyclo[3.1.0]hexan-1-ol,1.09 g (71%),ether,Room temperature,"6.5 hours, 20 minutes, 3 hours",71%
