nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium hydroxide, 3-nitrophthalic acid, mercuric acetate | 80 g (2 moles), 211 g (1 mole), 350 g (1.1 moles) | anhydro-2-hydroxymercuri-3-nitrobenzoic acid | 300-330 g | water, glacial acetic acid | 170°C, 165-175°C | 70 hours | 82-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p-hydroxyphenylarsonic acid, sodium hydroxide, chloroacetic acid, hydrochloric acid | 218 g (1 mole), 180 g (4.5 moles), 189 g (2 moles), 200 cc (2.1 moles) | p-arsonophenoxyacetic acid | 110-120 g | water | Reflux, 20°C | 4 hours | 40-43% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| aniline, benzoic acid | 750 g (8.1 moles), 1 kg (8.2 moles) | benzanilide | 1270-1325 g | N/A | 180-190°C, 225°C | 2 hours, 1-2 hours, 6 hours | 80-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phthalimide, potassium hydroxide | 80 g (0.54 mole), 30.5 g (0.54 mole) | potassium phthalimide | 160-180 g | absolute alcohol | boiling | 15 minutes | 80-90% |
| potassium phthalimide, ethylene dibromide | 150 g (0.81 mole), 450 g (2.4 moles) | β-Bromoethylphthalimide | 140-160 g | ethylene dibromide, alcohol, carbon disulfide | 180–190° | 12 hours | 69-79% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
