nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 3-nitrophthalic acid, sodium hydroxide, mercuric acetate | 211 g (1 mole), 80 g (2 moles), 350 g (1.1 moles) | Anhydro-2-hydroxymercuri-3-nitrobenzoic acid | 300-330 g | water, glacial acetic acid | 170°C | 70 hours | 82-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p-hydroxyphenylarsonic acid, sodium hydroxide, chloroacetic acid, hydrochloric acid | 218 g (1 mole), 180 g (4.5 moles), 189 g (2 moles), 200 cc (2.1 moles) | p-arsonophenoxyacetic acid | 110-120 g | water | 40-50°C, reflux | 4 hours | 40-43% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| aniline, benzoic acid | 750 g (8.1 moles), 1 kg (8.2 moles) | benzanilide | 1270-1325 g | N/A | 180-190°C, 225°C | 2-3 hours, 1-2 hours | 80-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phthalimide, potassium hydroxide | 80 g (0.54 mole), 30.5 g (0.54 mole) | potassium phthalimide | 160-180 g | absolute alcohol | gentle boil | 15 min | 80-90% |
| potassium phthalimide, ethylene dibromide | 150 g (0.81 mole), 450 g (2.4 moles) | β-Bromoethylphthalimide | 140-160 g | alcohol, carbon disulfide | 180-190° | 12 hours | 69-79% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| anhydro-2-hydroxymercuri-3-nitrobenzoic acid, sodium hydroxide, concentrated hydrochloric acid, glacial acetic acid, sodium bromide, bromine | 330 g (0.9 mole), 50 g (1.25 moles), 101 g (0.95 mole), 31.5 g (0.5 mole), 103 g (1 mole), 160 g (1 mole) | 2-bromo-3-nitrobenzoic acid | 130-150 g | water | boiling | N/A | 53-61% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| citric acid monohydrate, concentrated sulfuric acid | 210 g (1 mole), 210 g (2 moles) | aconitic acid | 71-77 g | water | 140-145°C | 7 hours | 41-44% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium phthalimide, γ-chlorobutyronitrile | 100 g (0.54 mole), 52 g (0.5 mole) | γ-phthalimidobutyronitrile | N/A | N/A | 150-180°C | 1.5 hours | N/A |
| γ-phthalimidobutyronitrile, sulfuric acid, distilled water | N/A | γ-aminobutyric acid | 24-32 g | sulfuric acid | reflux | 3 hours | 47-62% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-ketohexamethylenimine, concentrated hydrochloric acid | 50 g (0.44 mole), 45 cc | ε-aminocaproic acid | 52.5-53.5 g | water | Boiling | 1 hour | 90-92% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nitroso-β-naphthol, sodium hydroxide, sodium hydrosulfite, hydrochloric acid | 240 g (1.39 moles), 1.5 l, 600 g, 500 cc | 1,2-aminonaphthol hydrochloride | 180-200 g | water | 35°C, 60-65°C, 85-90°C | 30 min, 1 hour, 1 hour | 66-74% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sulfanilic acid dihydrate, sodium carbonate, sodium nitrite, concentrated hydrochloric acid, ice, β-naphthol, sodium hydroxide, Orange II, technical sodium hydrosulfite, stannous chloride dihydrate | 105 g (0.5 mole), 26.5 g (0.25 mole), 37 g (0.54 mole), 106 cc (1.25 moles), 72 g (0.5 mole), 110 g (2.75 moles), N/A, N/A, 230 g (about 1.1 moles), 2 g, 53 cc (0.63 mole) | 1,2-Aminonaphthol Hydrochloride | 70-83 g | water | 15°, 5°, 45-50°, 30°, 0° | 15-25 minutes, 1 hour, N/A, N/A, N/A | 72-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sulfanilic acid dihydrate, α-naphthol, sodium hydroxide, technical sodium hydrosulfite, stannous chloride dihydrate, hydrochloric acid | 105 g (0.5 mole), 72 g (0.5 mole), 110 g (2.75 moles), 230 g (1.1 moles), 2 g, 2 g | 1,4-aminonaphthol hydrochloride | 70-73 g | water | 25°C, 45-50°C, 70°C, 30°C, boiling | 1 hour, N/A, N/A, N/A, 5-10 minutes | 72-75% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| β-aminopropionitrile, barium hydroxide octahydrate | 70.1 g (1.00 mole), 185 g (0.55 mole) | β-alanine | 75-80 g | water | 90-95°C | 40 minutes + 20 minutes | 85-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| acrylonitrile, concentrated ammonium hydroxide | 100 ml (80 g, 1.5 moles), 400 ml | β-aminopropionitrile, bis-(β-cyanoethyl)-amine | 130-140 g, 210 g | N/A | N/A | a few hours to overnight | 31-33%, 57% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Benzalacetone, bromine | 100 g (0.68 mole), 109.5 g (34.2 ml, 0.68 mole) | Benzalacetone dibromide | 110-120 g | carbon tetrachloride | 10-20°C | 4-5 minutes | 52-57% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Magnesium, allyl chloride, hydrochloric acid | 82 g (3.5 gram atoms), 459 g (6 moles), N/A | Biallyl | 135-160 g | Ether | Room temperature | 5 hours | 55-65% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzalacetone dibromide, anhydrous sodium acetate, 95% ethanol | 100 g (0.33 mole), 30 g (0.37 mole), 250 ml | α-Bromobenzalacetone | 47-54 g | 95% ethanol | Reflux | 4 hours | 64-73% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium hydroxide, chlorine gas | 50 g (1.25 moles), 41 g (0.58 mole) | Sodium hypochlorite solution | N/A | water | 0°C | N/A | N/A |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-Nitroaniline, potassium hydroxide, sodium hypochlorite | 40 g (0.29 mole), 21 g (0.32 mole), N/A | Benzofurazan oxide | 31.6-32.5 g | 95% ethanol | 0°C | 10 minutes | 80-82% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-nitroaniline, sodium nitrite, sodium azide | 28 g (0.2 mole), 14.5 g, 13 g (0.2 mole) | o-Nitrophenylazide | 31-32 g | water, ethanol | 0-5°C, 50-55°C | 1 hour, N/A | 94-97%, 63-69% |
| o-Nitrophenylazide | 16.4 g (0.1 mole) | Benzofurazan oxide | 10.5-11.5 g | toluene | Steam cone | 3 hours | 77-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ethyl benzoylacetate, aniline | 105.7 g (0.55 mole), 46.6 g (0.5 mole) | benzoylacetanilide | 99-100 g | xylene, petroleum ether | 135°C | 15 minutes | 83-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nicotinic acid, thionyl chloride, anhydrous benzene, anhydrous aluminum chloride | 123 g (1 mole), 500 ml (6.9 moles), 200 ml, 330 g (2.5 moles) | 3-benzoylpyridine | 165-175 g | anhydrous benzene | 5-10°C, reflux | 1 hour, 6 hours | 90-96% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-methylcyclohexanone, sulfuryl chloride | 224 g (2.0 moles), 179 ml (297 g, 2.2 moles) | 2-chloro-2-methylcyclohexanone | 243-248 g | carbon tetrachloride | room temperature | 2 hours | 83-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-chloro-2-methylcyclohexanone, 2,4,6-collidine | N/A, 290 ml (266 g, 2.2 moles) | 2-methyl-2-cyclohexenone | 100-109 g | benzene | 145-150°C | 1 minute | 45-49% |
| 2-chloro-2-methylcyclohexanone, lithium chloride, dimethylformamide | N/A, 26 g, 250 ml | 2-methyl-2-cyclohexenone | 47-50 g | dimethylformamide | 100°C | 4 hours | 43-45% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nicotinamide-1-oxide, phosphorus pentachloride, phosphorus oxychloride | 85.0 g (0.62 mole), 180.0 g (0.86 mole), 243 mL | 2-chloronicotinonitrile | 30-33 g | N/A | 60-70°C to 100°C, 115-120°C | 1.5 hours | 35-39% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| mesitylene, titanium tetrachloride, dichloromethyl methyl ether | 72 g (0.60 mole), 190 g (1.0 mole), 57.5 g (0.5 mole) | mesitaldehyde | 60-66 g | methylene chloride | ice bath, 35°C | 3 min, 30 min, 15 min | 81-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-Nitroaniline, sulfuric acid, phosphoric acid, sodium nitrite, sulfamic acid, liquid sulfur dioxide, FeSO4·7H2O, copper powder | 13.8 g (0.10 mole), 75 ml (96%), 100 ml, 8.3 g (0.12 mole), N/A, N/A, 55.6 g (0.20 mole), 1 g | 2-Nitrobenzenesulfinic acid | 9.4-14.9 g | water, ether, methylene chloride | 10-15°C, -10°C | 30 minutes | 50-80% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-Nitrobenzenesulfinic acid, NaOH, palladium oxide | 3.74 g (0.020 mole), about 20 ml 1N, 0.2-1.0 g | Sodium 2-aminobenzenesulfinate | 3.05-3.20 g | water | 45°C | 2-6 hours | 85-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium 2-aminobenzenesulfinate, sodium nitrite, sulfuric acid, glycerol | 1.43 g (0.0080 mole), 0.55 g (0.0080 mole), 16 ml 2N, 22 ml | 1,2,3-Benzothiadiazole 1,1-dioxide | 0.77-1.04 g | water, ether | -15°C | 2 hours | 57-77% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cis,cis-1,5-cyclooctadiene, chloroform, benzoyl peroxide | 325 g (3.0 moles), 3 l, 14.6 g (0.06 mole) | 2-(trichloromethyl)bicyclo[3.3.0]octane | 106-117 g | chloroform | 63-65°C | 5 days | 35% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-(trichloromethyl)bicyclo[3.3.0]octane, 85% phosphoric acid | 100 g (0.440 mole), 500 ml | exo-cis-bicyclo[3.3.0]octane-2-carboxylic acid | 29-32 g | N/A | 150°C | 16 hours | 43-47% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N,N'-diphenylethylenediamine, triethyl orthoformate | 20 g (0.094 mole), 100 ml | bis(1,3-diphenylimidazolidinylidene-2) | 19-20 g | N/A | 190-200°C | 5 hours | 91-95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-t-butylcyclohexanone, aluminum chloride, lithium aluminum hydride, t-butanol | 77.2 g (0.5 mole), 67 g (0.5 mole), 5.5 g, 10 ml | trans-4-t-Butylcyclohexanol | 57-61 g | ether | Reflux | 4 hours | 73-78% |
).
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,2-bis(trimethylsilyloxy)cyclobutene, methanol | 23 g (0.10 mole), 450 ml | 2-hydroxycyclobutanone | 6.1-7.4 g | methanol | N/A | 24-30 hours | 71-86% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| adamantanone, p-tolylsulfonylmethyl isocyanide, ethanol, potassium tert-butoxide | 15.0 g (0.100 mole), 25.4 g (0.130 mole), 10 ml (0.17 mole), 28 g (0.25 mole) | 2-adamantanecarbonitrile | 13.5-14.5 g | 1,2-dimethoxyethane | 5-10°C, 35-40°C | 30 minutes, 30 minutes | 84-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cyclohexene, rhodium(III) oxide, carbon monoxide, hydrogen | 82 g (1.0 mole), 0.2 g (0.8 mmole), N/A, N/A | cyclohexanecarboxaldehyde | 92-94 g | benzene | 100°C | 2 hours | 82-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tricarbonyl[(1,2,3,4,5-η)-2,4-cyclohexadien-1-yl]iron(1+) hexafluorophosphate(1−), dimedone | 5 g (0.013 mole), 2.5 g (0.018 mole) | tricarbonyl[2-[(2,3,4,5-η)-4-methoxy-2,4-cyclohexadien-1-yl]-5,5-dimethyl-1,3-cyclohexanenedione]iron | 4.3 g | water, ethanol | reflux | 15 minutes | 87% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tellurium tetrachloride, anisole | 27.0 g (0.100 mole), 64.8 g (0.600 mole) | Bis(4-methoxyphenyl)tellurium dichloride | 35.5-38.5 g | acetonitrile | 160°C | 6 hours | 84-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Raney nickel, bis(4-methoxyphenyl)tellurium dichloride | 60 g, 20.6 g (0.0497 mole) | 4,4'-Dimethoxy-1,1'-biphenyl | 8.5-9.8 g | benzene, bis(2-methoxyethyl) ether | 200°C (2 mm.) | 2 hours (degaussing), 8 hours (reflux) | 78-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (±)-1,1'-bi-2-naphthol, phosphorus oxychloride, pyridine | 100 g (0.35 mol), 73.6 g (0.48 mol), 450 mL | (±)-binaphthylphosphoric acid | 114-119 g | pyridine | 80-90°C | N/A | 94-99% |
| racemic binaphthylphosphoric (BNP) acid, (+)-cinchonine, methanol, water | 95.2 g (0.27 mol), 80.4 g (0.27 mol), 985 mL, 420 mL | (S)-(+)- and (R)-(−)-BNP acid salt | 76.6 g | methanol | 65-70°C | N/A | N/A |
| (S)-(+)-BNP acid salt, ethanol, 6 N hydrochloric acid | 76.6 g, 500 mL, 570 mL | (S)-(+)-BNP acid | 26.7 g | ethanol | 75-80°C | N/A | 56% |
| (R)-(−)-BNP acid salt, ethanol, 6 N hydrochloric acid | 107 g, 700 mL, 790 mL | (R)-(−)-BNP acid | 23.3 g | ethanol | 75-80°C | N/A | 49% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(−)-1,1'-binaphthyl-2,2'-diyl hydrogen phosphate, dimethyl sulfate, sodium bicarbonate | 20.0 g (57.4 mmol), 10.0 mL (105.7 mmol), 10.4 g (123.8 mmol) | (R)-(−)-methyl 1,1'-binaphthyl-2,2'-diyl phosphate | 16.4 g (45.2 mmol) | N,N-dimethylacetamide | room temperature | overnight | 79% |
| (R)-(−)-methyl 1,1'-binaphthyl-2,2'-diyl phosphate, Red-Al | 14.7 g (40.6 mmol), 27.0 mL (91.8 mmol) | (R)-(+)-1,1'-binaphthalene-2,2'-diol | 11.4 g | toluene | 44°C, 10°C | 90 min | 98% |
| (R)-(+)-1,1'-binaphthalene-2,2'-diol | 11.4 g | (R)-(+)-1,1'-binaphthalene-2,2'-diol | 9.62 g | toluene | reflux | 5 min | 94% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,2'-Dibromo-1,1'-binaphthyl | 240 g (0.915 mol) of triphenylphosphine, 155 g (50 mL, 0.969 mol) of bromine, 120 g (0.420 mol) of 2,2'-dihydroxy-1,1'-binaphthyl | 2,2'-Dibromo-1,1'-binaphthyl | 90 g | acetonitrile | 60°C for 30 min, 240-260°C, 310-320°C | N/A | 45% |
| (±)-2,2'-Bis(diphenylphosphinyl)-1,1'-binaphthyl [(±)-BINAPO] | 2.84 g (0.117 g-atom) of magnesium turnings, 20.0 g (50.0 mmol) of 2,2'-dibromo-1,1'-binaphthyl, 28.4 g (120 mmol) of diphenylphosphinyl chloride | (±)-2,2'-Bis(diphenylphosphinyl)-1,1'-binaphthyl [(±)-BINAPO] | 24.5 g | tetrahydrofuran, toluene | 50-70°C, 75°C, 10°C, 60°C | N/A | 75% |
| (S)-BINAPO | 10.5 g (16.0 mmol) of racemic BINAPO, 6.0 g (16.0 mmol) of (−)-2,3-O-dibenzoyl-L-tartaric acid monohydrate [(−)-DBT monohydrate] | (S)-BINAPO | 4.6 g | chloroform, ethyl acetate | reflux | overnight | 89% |
| (R)-BINAPO | 9.0 g of solid material ((R)-BINAPO and (−)-DBT), 3.4 g (9.0 mmol) of (+)-DBT monohydrate | (R)-BINAPO | 4.65 g | chloroform, ethyl acetate | reflux | overnight | 92% |
| (S)-BINAP | 4.5 g (6.9 mmol) of (S)-BINAPO, 4.2 mL of triethylamine (3.1 g, 30 mmol), 3.0 mL (4.0 g, 29 mmol) of trichlorosilane | (S)-BINAP | 4.2 g | xylene | 100°C, 120°C, reflux | 8 hours | 97% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| [(+)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl]-(η4-1,5-cyclooctadiene) rhodium(I) perchlorate | 0.53 g (1.08 mmol) | [Rh{(+)-BINAP}(1,5-C8H12)] ClO4 | 2.07 g | acetone | ambient temperature | 1 hr, 18 hr |  |
| [(−)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl] (η4-1,5-cyclooctadiene) rhodium(I) perchlorate | 0.53 g (1.08 mmol) | [Rh{(−)-BINAP}(1,5-C8H12)] ClO4 | 2.02 g | acetone | ambient temperature | 1 hr, 18 hr |  |
| N,N-diethylgeranylamine | 83.8 g (0.40 mol) | (R)-(−)-N,N-Diethyl-(E)-citronellalenamine | 78.7 g | tetrahydrofuran | reflux | 21 hr | 93.9% |
| N,N-diethylnerylamine | 83.8 g (0.40 mol) | (R)-(−)-N,N-Diethyl-(E)-citronellalenamine | 77.2 g | tetrahydrofuran | reflux | 70 hr | 92.1% |
| (R)-(−)-N,N-Diethyl-(E)-citronellalenamine | 33.4 g (0.16 mol) | (R)-(+)-Citronellal | 22.5 g | ether | 0°C, room temperature | 5 min, 25 min | 91.4% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| myrcene, diethylamine, metallic lithium | 13.60 g (74 mmol), 10.29 g (141 mmol), 0.185 g (0.0267 g-atom) | N,N-diethylgeranylamine | 12.66-13.28 g | N/A | 55°C | 5 hr | 74-77% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
