nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium hydroxide, 3-nitrophthalic acid, mercuric acetate | 80 g (2 moles), 211 g (1 mole), 350 g (1.1 moles) | anhydro-2-hydroxymercuri-3-nitrobenzoic acid | 300-330 g | water, glacial acetic acid | 165-175°C | 70 hours | 82-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p-hydroxyphenylarsonic acid, sodium hydroxide, chloroacetic acid, hydrochloric acid | 218 g (1 mole), 180 g (4.5 moles), 189 g (2 moles), 200 cc (2.1 moles) | p-arsonophenoxyacetic acid | 110-120 g | water | 40-50°C, 20°C (cooling), 110°C (drying) | 4 hours, 1 hour (drying) | 40-43% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|----------|----------------------|----------------|-------|
| Aniline, benzoic acid, hydrochloric acid, sodium hydroxide | 750 g (8.1 moles), 1 kg (8.2 moles), 500 cc, N/A | Benzanilide | 1270-1325 g | water | 190-225°C | 8-10 hours, overnight | 80-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phthalimide, potassium hydroxide, absolute alcohol | 80 g (0.54 mole), 30.5 g (0.54 mole), 1600 cc | potassium phthalimide | 160-180 g | absolute alcohol, acetone | Room temperature | N/A | 80-90% |
| potassium phthalimide, ethylene dibromide | 150 g (0.81 mole), 450 g (2.4 moles) | β-Bromoethylphthalimide | 140-160 g | alcohol, carbon disulfide | 180-190°C | 12 hours | 69-79% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| anhydro-2-hydroxymercuri-3-nitrobenzoic acid, sodium hydroxide, hydrochloric acid, glacial acetic acid, sodium bromide, bromine | 330 g (0.9 mole), 50 g (1.25 moles), 101 g (0.95 mole), 31.5 g (0.5 mole), 103 g (1 mole), 160 g (1 mole) | 2-bromo-3-nitrobenzoic acid | 130-150 g | water | Boiling | N/A | 53-61% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Citric acid monohydrate, concentrated sulfuric acid, hydrochloric acid, glacial acetic acid | 210 g (1 mole), 210 g (115 cc, 2 moles), 70 cc, 10 cc | Aconitic acid | 71-77 g | Water, glacial acetic acid | 140-145°C | 7 hours | 41-44% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium phthalimide, γ-chlorobutyronitrile, sulfuric acid, barium carbonate | 100 g (0.54 mole), 52 g (0.5 mole), 140 cc, 550 g | γ-aminobutyric acid | 24-32 g | water, sulfuric acid | 150-180°C, reflux | 1.5 hours, 3 hours, overnight, 2 hours | 47-62% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-ketohexamethylenimine, hydrochloric acid | 50 g (0.44 mole), 45 cc | ε-aminocaproic acid | 52.5-53.5 g | water | Boiling | ~1 hour | 90-92% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nitroso-β-naphthol, sodium hydroxide, sodium hydrosulfite, hydrochloric acid | 240 g (1.39 moles), 1.8 l of 5 N solution, 600 g, 750 cc | 1,2-aminonaphthol hydrochloride | 180-200 g | water | 20° - 90° | Various (30 min stirring, 1h heating, total 2+ hours rest) | 66-74% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sulfanilic acid dihydrate, sodium carbonate, sodium nitrite, hydrochloric acid, ice, β-naphthol, sodium hydroxide, sodium hydrosulfite, stannous chloride dihydrate | 105 g (0.5 mole), 26.5 g (0.25 mole), 37 g (0.54 mole), 106 cc. (1.25 moles), 600 g, 72 g (0.5 mole), 110 g (2.75 moles), 230 g (about 1.1 moles), 2 g | 1,2-Aminonaphthol Hydrochloride | 70-83 g | water | 0-15°C, 45-50°C | 20-25 minutes, 1 hour, N/A | 72-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sulfanilic acid dihydrate, α-naphthol, sodium hydroxide, sodium hydrosulfite, stannous chloride, hydrochloric acid | 105 g (0.5 mole), 72 g (0.5 mole), 110 g (2.75 moles), 230 g (about 1.1 moles), 2 g, 163 cc | 1,4-aminonaphthol hydrochloride | 70-73 g | water | 0°, 25°, 45–50°, ~70°, boiling | 1 hour, several minutes | 72-75% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Technical barium hydroxide octahydrate, β-aminopropionitrile | 185 g (0.55 mole), 70.1 g (1.00 mole) | β-alanine | 75-80 g | water | 90-95°C | 40 minutes, 40 minutes additional | 85-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| acrylonitrile, concentrated ammonium hydroxide | 100 ml (80 g, 1.5 moles), 400 ml | β-aminopropionitrile, bis-(β-cyanoethyl)-amine | Primary amine: 130-140 g, Secondary amine: ~210 g | ammonia | N/A | a few hours or overnight | Primary amine: 31-33%, Secondary amine: ~57% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzalacetone, bromine | 100 g (0.68 mole), 109.5 g (34.2 ml, 0.68 mole) | BENZALACETONE DIBROMIDE | 110-120 g | carbon tetrachloride, methanol | 10°-20°C | After addition: 4-5 min, Cooling: 4 hours | 52-57% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Magnesium, allyl chloride| 82 g (3.5 g atoms), 459 g (6 moles) | Biallyl | 135-160 g | ether | Room temperature, 10°C for HCl addition | 1-1.5 hours addition, 5 hours reaction, until HCl addition ceases to evolve heat | 55-65% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzalacetone dibromide, anhydrous sodium acetate | 100 g (0.33 mole), 30 g (0.37 mole) | α-Bromobenzalacetone | 47-54 g | 95% ethanol | Reflux | 4 hours | 64-73% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium hydroxide, water, chlorine gas | 50 g (1.25 moles), 200 ml, 41 g (0.58 mole) | Sodium hypochlorite solution | N/A | water | 0°C | Until absorption complete | N/A |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium hydroxide, ethanol, o-nitroaniline, sodium hypochlorite | 21 g (0.32 mole), 250 ml, 40 g (0.29 mole), N/A | benzofurazan oxide | 31.6-32.5 g | ethanol | 0°C, steam bath | 10 min | 80-82% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-nitroaniline, sodium nitrite, sodium azide | 28 g (0.2 mole), 14.5 g, 13 g (0.2 mole) | o-nitrophenylazide | 31-32 g | water, hydrochloric acid, ethanol | 0-5°C | 1 hour (diazotization), 15-20 minutes (reaction) | 94-97% (crude) |
| o-nitrophenylazide, toluene | 16.4 g (0.1 mole), N/A | Benzofurazan oxide | 10.5-11.5 g | toluene, 95% ethanol (recrystallization) | Reflux | ~3 hours | 77-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ethyl benzoylacetate, aniline | 105.7 g (0.55 mole), 46.6 g (0.5 mole) | Benzoylacetanilide | 99-100 g | xylene, petroleum ether | 135°C | 15 minutes | 83-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nicotinic acid, thionyl chloride, aluminum chloride, hydrochloric acid | 123 g (1 mole), 500 ml (818 g, 6.9 moles), 330 g (2.5 moles), N/A | 3-benzoylpyridine | 165-175 g | benzene, thionyl chloride | 5–10°C, room temperature, reflux | 1 hour, 6 hours | 90–96% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|----------|----------------------|----------------|-------|
| 2-methylcyclohexanone, sulfuryl chloride | 224 g (2.0 moles), 179 ml (297 g, 2.2 moles) | 2-Chloro-2-methylcyclohexanone | 243-248 g | carbon tetrachloride | Room temperature | 3 hours (1 hour addition + 2 hours stirring) | 83-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-chloro-2-methylcyclohexanone, 2,4,6-collidine | N/A, 290 ml (266 g, 2.2 moles) | 2-Methyl-2-cyclohexenone | 100-109 g | carbon tetrachloride, benzene | 145-150°C | 1 minute | 45-49% |
| 2-chloro-2-methylcyclohexanone, lithium chloride, dimethylformamide | N/A, 26 g, 250 ml | 2-Methyl-2-cyclohexenone | 47-50 g | dimethylformamide, ether, sulfuric acid | 100-112°C | 25 minutes, 4 hours (hydrolysis) | 43-45% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nicotinamide-1-oxide, phosphorus pentachloride, phosphorus oxychloride | 85.0 g (0.62 mole), 180.0 g (0.86 mole), 243 mL | 2-chloronicotinonitrile | 30-33 g | phosphorus oxychloride | 100–105°, then 115–120° | 1.5 hours (plus overnight) | 35–39% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Mesitylene, titanium tetrachloride, dichloromethyl methyl ether | 72 g (0.60 mole), 190 g (110 ml, 1.0 mole), 57.5 g (0.5 mole) | Mesitaldehyde | 60-66 g | methylene chloride | Ice bath, room temperature, 35°C | 3 minutes, 25 minutes, 5 minutes, 30 minutes, 15 minutes | 81-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-Nitroaniline, sodium nitrite, sulfuric acid, phosphoric acid, water, sulfamic acid, liquid sulfur dioxide, FeSO4·7H2O, copper powder, calcium chloride, ammonia, hydrochloric acid | 13.8 g (0.10 mole), 8.3 g (0.12 mole), 75 ml, 100 ml, 50 ml, N/A, 50 ml, 55.6 g (0.20 mole), 1 g, N/A, N/A, N/A | 2-nitrobenzenesulfinic acid | 9.4-14.9 g | sulfuric acid, phosphoric acid, ether, methylene chloride | 10-15°C (addition of nitrite), -10°C (addition of SO2) | N/A | 50-80% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-Nitrobenzenesulfinic acid, NaOH, Palladium oxide | 3.74 g (0.020 mole), 20 ml (1N), 0.2–1.0 g | Sodium 2-aminobenzenesulfinate | 3.05-3.20 g | water | N/A | 2-6 hours | 85-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|------------------|----------|-----------------|----------|----------------------|---------------|-------|
| sodium 2-aminobenzenesulfinate, sodium nitrite, sulfuric acid, glycerol | 1.43 g (0.0080 mole), 0.55 g (0.0080 mole), 16 ml of 2N, 22 ml | 1,2,3-Benzothiadiazole 1,1-dioxide | 0.77-1.04 g | water, ether, glycerol | -15°C ± 3°, then warming to -6° | 2 hours + extraction time | 57-77% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cis,cis-1,5-cyclooctadiene, chloroform, benzoyl peroxide | 325 g (3.0 moles), 3 l, 14.6 g (0.06 mole) + four 7.3 g portions | 2-(Trichloromethyl)bicyclo[3.3.0]octane | 106-117 g (approx. 35% based on unrecovered reactant) | chloroform | 63-65°C (reflux) | 5 days | approx. 35% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-(trichloromethyl)bicyclo[3.3.0]octane, phosphoric acid | 100 g (0.440 mole), 500 ml | exo-cis-Bicyclo[3.3.0]octane-2-carboxylic acid | 29-32 g | phosphoric acid | 150°C | 16 hours | 43-47% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N,N'-diphenylethylenediamine, triethyl orthoformate | 20 g (0.094 mole), 100 ml | Bis(1,3-diphenylimidazolidinylidene-2) | 19-20 g | triethyl orthoformate | 190-200°C | 5 hours | 91-95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| anhydrous aluminum chloride, lithium aluminum hydride, 4-t-butylcyclohexanone | 67 g (0.5 mole), 5.5 g, 77.2 g (0.5 mole) | trans-4-t-BUTYLCYCLOHEXANOL | 57-61 g (not including additional crop) | dry ether | Reflux, room temperature | 45-60 minutes, 2 hours, 30 minutes, 4 hours, overnight | 73-78% (not including additional crop) |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Diethyl succinate, chlorotrimethylsilane, sodium | 17.4 g (0.100 mole), 45-50 g (~0.4 mole), 9.6-9.8 g (~0.4 g.-atom) | 1,2-Bis(trimethylsilyloxy)cyclobutene | 18 g | Dry solvent | Reflux | 1–3 hours (addition) + 5 hours (stirring) | 78% |
| Diethylsuccinate, chlorotrimethylsilane, sodium, potassium | 17.4 g (0.100 mole), 44 g (0.41 mole), 4.8-5.0 g (~0.2 g.-atom), 8.0-8.2 g (~0.2 g.-atom) | 1,2-Bis(trimethylsilyloxy)cyclobutene | 13.8–16.1 g | Anhydrous ether | N/A | 4–6 hours (stirring) | 60–70% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,2-bis(trimethylsilyloxy)cyclobutene, methanol | 23 g (0.10 mole), 450 ml | 2-Hydroxycyclobutanone | 6.1-7.4 g | methanol | room temperature | 24–30 hours | 71–86% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|----------|----------------------|----------------|-------|
| Adamantanone, p-tolylsulfonylmethyl isocyanide, potassium tert-butoxide, ethanol | 15.0 g (0.100 mole), 25.4 g (0.130 mole), 28 g (0.25 mole), 10 ml (0.17 mole) | 2-Adamantanecarbonitrile | 13.5-14.5 g | 1,2-dimethoxyethane, ethanol | 5-10°C, 35-40°C | 30 minutes, 30 minutes | 84-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cyclohexene, rhodium(III) oxide, sodium hydrogen sulfite, potassium carbonate | 82 g (1.0 mole), 0.2 g (0.8 mmole), 200 g, N/A | cyclohexanecarboxaldehyde | 92-94 g | benzene | 100° | 2 hours | 82-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
