Index,Summary
0,
volume16article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Potassium hydroxide sticks, bromine, succinimide | 302 g, 96.6 g (30.8 cc, 0.6 mole), 59.4 g (0.6 mole) | β-alanine | 22-24 g | distilled water | 55-60°C | 2 hours | 41-45% |"
volume16article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 3 per cent hydrogen peroxide solution, potassium hydroxide solution, veratronitrile | 1.8 kg (1.6 moles), 100 g, 57 g (0.35 mole) | 4-aminoveratrole | 39-40 g | N/A | 45°C | 50 minutes | 80-82% |"
volume16article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium nitrite, concentrated sulfuric acid, n-butyl alcohol | 380 g (5.5 moles), 136 cc (250 g, 2.5 moles), 457 cc (370 g, 5 moles) | n-Butyl nitrite | 420-440 g | water | 0°C | 1.5-2 hours | 81-85% |"
volume16article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| n-butyl alcohol, pyridine, phosphorus oxychloride | 222 g (274 cc, 3 moles), 260 g (265 cc, 3.3 moles), 153 g (91 cc, 1 mole) | n-butyl phosphate | 190-200 g | benzene | Reflux | 2 hours | 71-75% |"
volume16article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-tolidine, hydrochloric acid, sodium nitrite, Chicago acid, sodium hydroxide, sodium carbonate, hydrated sodium acetate | 21.2 g (0.1 mole), 20 cc, 14.5 g (0.2 mole), 82 g (0.21 mole), 8 g (0.2 mole), 35 g (0.33 mole), 27 g per 100 cc | p-Bromomandelic acid | 80-81 g | water, ethyl alcohol | 10-15°C, 18°C, 85°C | 4-5 days, 2 hours | 83-84% |"
volume16article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium hydroxide, hydrazine sulfate, benzoyl chloride | 48 g (1.2 moles), 65 g (0.5 mole), 145 g (120 cc, 1.03 moles) | dibenzoylhydrazine | 80-90 g | water | N/A | 2 hours | 66-75% |
| dibenzoylhydrazine, sodium hydroxide, methyl sulfate | 80 g (0.33 mole), 10 g (0.25 mole), 320 g (240 cc, 2.54 moles) | dibenzoyldimethylhydrazine | 77-83 g | water | 90°C | 2 hours | 86-93% |
| dibenzoyldimethylhydrazine, hydrochloric acid | 67 g (0.25 mole), 250 cc | dimethylhydrazine dihydrochloride | 25-26 g | N/A | reflux | 2 hours | 75-78% |"
volume16article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| dimethylamine hydrochloride, sodium nitrite, water, hydrochloric acid | 245 g (3 moles), 235 g (3.23 moles), 120 cc, 10 cc | Nitrosodimethylamine | 195-200 g | water | 70-75°C | 2 hours | 88-90% |
| nitrosodimethylamine, water, zinc dust, acetic acid, sodium hydroxide, hydrochloric acid | 200 g (2.7 moles), 3 l, 650 g (10 gram atoms), 1 l (14 moles), 1 kg, 650 cc | unsym.-Dimethylhydrazine Hydrochloride | 180-190 g | water | 25-30°C, 60°C | 1 hour | 69-73% |"
volume16article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| acetonylacetone, ammonium carbonate | 100 g (0.88 mole), 200 g (1.75 moles) | 2,5-dimethylpyrrole | 68-72 g | chloroform | 115°C | 90 minutes | 81-86% |"
volume16article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
