Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume56article1_1_1,"1,2,3,4,5,6-hexamethylbicyclo[2.2.0]hexa-2,5-diene, m-chloroperbenzoic acid","100 g (0.615 mole), 130 g (0.640 mole)","5-acetyl-1,2,3,4,5-pentamethylcyclopentadiene",31.3-37.5 g,"toluene, chloroform","0°C, room temperature",36 hours,29-34%
volume56article2_1_1,"N-acetylhomoveratrylamine, phosphorus oxychloride","54.0 g (0.243 mole), 86.4 g (52.5 ml, 0.572 mole)","6,7-dimethoxy-1-methyl-3,4-dihydroisoquinoline",47.0-48.0 g,toluene,reflux,2 hours,95-96%
volume56article2_2_1,"acetic anhydride, pyridine, dihydroisoquinoline","110 ml, 110 ml, 45.0 g (0.220 mole)","2-Acetyl-6,7-dimethoxy-1-methylene-1,2,3,4-tetrahydroisoquinoline",38.5-41.0 g,N/A,90-95°C,"30 minutes, overnight",72-77%
volume56article2_3_1,"Methylene derivative, hydrochloric acid, potassium carbonate","31.0 g (0.125 mole), 75 ml, 6.25 g","2-(2-Acetamidoethyl)-4,5-dimethoxyacetophenone",30.5-32.0 g,5% hydrochloric acid,"60-65°C, 30°C",N/A,91-93%
volume56article3_1_1,"benzaldehyde, 1,3-propanedithiol","5.52 g (5.28 ml, 0.0521 mole), 5.6 g (5.2 ml, 0.052 mole)","2-phenyl-1,3-dithiane",9.5-9.7 g,chloroform,Room temperature,30 minutes,93-95%
volume56article3_2_1,"2-phenyl-1,3-dithiane, n-butyllithium, dimethyl disulfide","37.2 g (0.190 mole), 0.228 mole, 32.2 g (30.4 ml, 0.342 mole)","2-methylthio-2-phenyl-1,3-dithiane",33.5-35.3 g,"tetrahydrofuran, chloroform","-20°C, room temperature","2 hours, 90 minutes",72-77%
volume56article3_3_1,"2-methylthio-2-phenyl-1,3-dithiane, indole, boron trifluoride diethyl etherate","24.2 g (0.102 mole), 5.86 g (0.0501 mole), 25 ml","3-(2-phenyl-1,3-dithian-2-yl)-1H-indole",22.3-25.4 g,chloroform,Room temperature,2 hours,72-81%
volume56article3_4_1,"3-(2-phenyl-1,3-dithian-2-yl)-1H-indole, copper(II) oxide, copper(II) chloride","1.55 g (0.00508 mole), 0.48 g (0.0060 mole), 1.61 g (0.0120 mole)",3-benzoylindole,0.94-0.97 g,acetone,reflux,90 minutes,85-88%
volume56article3_5_1,"3-(2-phenyl-1,3-dithian-2-yl)-1H-indole, anhydrous copper(II) chloride, anhydrous zinc chloride, lithium aluminum hydride","1.55 g (0.00508 mole), 1.34 g, 2.72 g, 3.04 g",3-Benzylindole,0.74-0.85 g,tetrahydrofuran,"Room temperature, reflux","45 minutes, 1 hour",72-82%
volume56article4_1_1,"Ethyl 4-aminobenzoate, tert-butyl hypochlorite, dimethyl sulfide, triethylamine","16.50 g (0.1000 mole), 10.85 g (0.1000 mole), 23 g (25 ml, 0.34 mole), 18 g (25 ml, 0.18 mole)",Ethyl 4-amino-3-(methylthiomethyl)benzoate,7.6-8.4 g,"acetonitrile, dichloromethane",-40°C to reflux,"4 hours, 16 hours",34-37%
