Index,Summary
0,
volume6article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Acid potassium sulfate, potassium sulfate, glycerol | 1 kg, 200 g, 300 g (238 cc) | Acrolein | 240-350 g | N/A | 190-200°C, 215-230°C | 4.5 hours | 33-48% |"
volume6article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Crystalline copper sulfate, pyridine, water, benzoin | 4100 g (16.4 moles), 4000 g, 1600 g, 1696 g (8 moles) | Benzil | 1450 g | water, 10% hydrochloric acid, carbon tetrachloride | Steam bath, N/A, N/A | 2 hours, N/A, N/A | 86% |"
volume6article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p-toluidine, glacial acetic acid, bromine, sodium bisulfite, ethyl alcohol, concentrated hydrochloric acid, sodium hydroxide | 214 g (2 moles), 800 cc, 325 g (102 cc, 2.03 moles), 25 g, 500 cc, 500 cc, 3 hours, 140 g, 225-250 g | 3-bromo-4-acetaminotoluene | 250-300 g | water, ethyl alcohol | reflux, room temperature | 2 hours, N/A | 60-67% |"
volume6article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| hydrobromic acid, ethylene oxide | 550 cc (4.56 moles), 132 g (3 moles) | 2-bromoethanol | 327-345 g | ether | Below 10°C | 1 hour | 87-92% |"
volume6article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 3-bromo-4-aminotoluene, ethyl alcohol, concentrated sulfuric acid, sodium nitrite, copper bronze | 250 g (1.33 moles), 800 cc, 200 cc, 148 g (2.05 moles), 35 g (0.55 atom) | m-Bromotoluene | 125-135 g | water | 10°C | 20 minutes | 36-39% (based on p-toluidine), 54-59% (based on 3-bromo-4-aminotoluene) |"
volume6article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| thiophosgene, p-chloroaniline | 249 g (165 cc, 2.16 moles), 255 g (2 moles) | p-chlorophenyl isothiocyanate | 245-275 g | water | 120°C | 4 hours | 72-81% |"
volume6article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,3-dibromopropene, cyclohexylmagnesium bromide | 200 g (1 mole), 1 mole | 3-cyclohexyl-2-bromopropene | 123-130 g | dry ether | Ice bath, reflux, hot-water bath | 2 hours | 60.5-64% |"
volume6article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| magnesium turnings, cyclohexyl chloride, paraformaldehyde | 26.7 g (1.1 atoms), 118.5 g (121 cc, 1 mole), 50 g | Cyclohexylcarbinol | 72.5-78.5 g | ether | reflux | 1.75 hours | 64-69% |"
volume6article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodamide, cyclohexylbromopropene | 120 g (3.1 moles), 203 g (1 mole) | 3-cyclohexylpropine | 80 g | purified mineral oil, ether | 160-165°C | 2 hours | 66% |"
volume6article10_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Mesityl oxide, aqueous ammonia | 200 g (2 moles), 280 cc | Diacetonamine hydrogen oxalate | 285-320 g | absolute alcohol | Room temperature | 3 days | 63-70% |"
volume6article11_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Magnesium turnings, bromobenzene, dry ether, dry ethyl acetate | 27 g (1.1 atoms), 30 g, 70 cc, 44 g (0.5 mole) | 1,1-diphenylethylene | 60-66 g | ether | Reflux, 210-215°C | 1 hour | 67-70% |"
volume6article12_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Ethyl acetate, sodium | 500 g (531 cc, 5.7 moles), 50 g (2.2 atoms) | Ethyl acetoacetate | 105-110 g | N/A | Water bath | 1.5 hours | 28-29% |"
volume6article13_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Ethyl oxalate, acetone, sodium | 730 g (5 moles), 290 g (5 moles), 125 g (5.4 atoms) | Ethyl acetopyruvate | 480-520 g | absolute ethyl alcohol, water, benzene | Room temperature, 40°C | 1-2 hours, 2-3 hours, 1 hour, 5-10 minutes | 61-66% |"
volume6article14_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Furfural, sodium hydroxide solution | 1 kg (862 cc, 10.2 moles), 825 g (33.3%) | 2-Furancarboxylic acid, 2-Furylcarbinol | 360-380 g, 310-325 g | water, ether | 5-8°C, room temperature | 1 hour, 6-7 hours | 60-63%, 61-63% |"
volume6article15_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium, absolute alcohol, phenol, glycerol α-monochlorohydrin | 46 g (2 atoms), 500 cc, 188 g (2 moles), 221 g (2 moles) | α-Glyceryl phenyl ether | 205-215 g | absolute alcohol | Steam bath | 1 hour | 61-64% |"
volume6article16_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| iron filings, glacial acetic acid, water, heptaldehyde | 1800 g (32.2 atoms), 3 l (52.5 moles), 3 l, 450 g (3.95 moles) | n-heptyl alcohol | 350-370 g | water, glacial acetic acid, sodium hydroxide solution | Steam bath, reflux | 6-7 hours, 4 hours | 75-81% |"
volume6article17_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| magnesium turnings, n-butyl bromide, ethylene oxide | 150 g (6.2 atoms), 822 g (6 moles), 278 g (6.3 moles) | n-hexyl alcohol | 368-380 g | anhydrous ethyl ether, benzene | Below 10°C, reflux | 4-6 hours, 1 hour, 1-2 hours | 60-62% |"
volume6article18_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium cyanide, benzaldehyde, sodium bisulfite | 150 g (3 moles), 318 g (3 moles), 850 cc | mandelonitrile | 290 cc | water | N/A | N/A | N/A |
| mandelonitrile, hydrochloric acid | 290 cc, 425 cc | p-Bromomandelic acid | 370-390 g | N/A | Cold, steam bath | 12 hours, 5-6 hours | N/A |
| p-Bromomandelic acid, benzene | N/A | p-Bromomandelic acid | 229-235 g | benzene | Boiling | N/A | 50-52% |
| p-Bromomandelic acid, ether | N/A | p-Bromomandelic acid | N/A | ether | N/A | 10 minutes | N/A |"
