Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume95article8_1_1,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate","6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol)",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,22°C,64 hours,85%
volume95article8_2_1,"N-benzyl-4-methyl-N-(phenylethynyl)benzene-sulfonamide, dichloro(2-pyridinecarboxylato)gold, ((tert-butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide","4.69 g (13.0 mmol), 51.02 mg (0.13 mmol), 3.60 g (14.3 mmol)",tert-Butyl ((4-((N-benzyl-4-methylphenyl)sulfonamido)-5-phenyloxazol-2-yl)methyl)carbamate,6.67 g,toluene,90°C,5.5 hours,96%
volume96article6_1_1,"p,α,α-tribromoacetophenone, sodium hydroxide, hydrochloric acid","89 g (0.25 mole), 50 g, N/A",p-Bromomandelic acid,40-48 g,water,Below 10°C,4-5 days,69-83%
volume96article6_1_2,Various aryne precursors,N/A,Highly substituted aryne precursors,N/A,N/A,N/A,N/A,N/A
volume96article6_1_3,"Heteroarynes, cyclic alkynes",N/A,Various strained intermediates,N/A,N/A,N/A,N/A,N/A
volume96article6_1_4,"Arynes, β-ketoesters",N/A,Methyl 2-(2-acetylphenyl)acetate,N/A,N/A,N/A,N/A,N/A
volume96article6_1_5,"Arynes, imides",N/A,Acyl-aminated arenes,N/A,N/A,N/A,N/A,N/A
volume96article6_1_6,"Arynes, aniline derivatives",N/A,Acyl-aminated arenes,N/A,N/A,N/A,N/A,N/A
volume96article6_1_7,"Arynes, heteroaryl systems",N/A,Heterocycles,N/A,N/A,N/A,N/A,N/A
volume96article6_1_8,"Arynes, various substrates",N/A,Difunctionalized products,N/A,N/A,N/A,N/A,N/A
volume96article6_1_9,"Arynes, trifluoromethyl ketones",N/A,Aryl trifluoromethyl ketones,N/A,N/A,N/A,N/A,N/A
volume96article6_1_10,"Arynes, imides",N/A,Aryl imides,N/A,N/A,N/A,N/A,N/A
volume96article6_1_11,"Arynes, anilines",N/A,Aryl amines,N/A,N/A,N/A,N/A,N/A
volume96article6_1_12,"Arynes, various heteroatoms",N/A,Differentially substituted acyl-aminated arenes,N/A,N/A,N/A,N/A,N/A
volume96article6_1_13,"Arynes, various heterocycles",N/A,Heterocycles,N/A,N/A,N/A,N/A,N/A
volume96article6_1_14,"Arynes, various transformations",N/A,Various products,N/A,N/A,N/A,N/A,N/A
volume96article6_1_15,"Arynes, natural product synthesis",N/A,Various natural products,N/A,N/A,N/A,N/A,N/A
volume96article23_1_1,"p,α,α-tribromoacetophenone, aluminum trichloride, chloroacetyl chloride","89 g (0.25 mole), N/A, N/A",p-Bromomandelic acid,40-48 g,water,<10°C,4-5 days,69-83%
volume96article23_1_2,"acetylacetone, aluminum trichloride, chloroacetyl chloride","N/A, N/A, N/A",dichlorodione,57-58%,N/A,N/A,N/A,N/A
volume96article23_1_3,dichlorodione,N/A,dichlorodiol,40%,N/A,N/A,N/A,N/A
volume96article23_1_4,dichlorodiol,N/A,"1,2:4,5-diepoxypentane",92%,N/A,N/A,N/A,N/A
volume96article23_1_5,"R,R-3",N/A,"R,R-4",>97% ee,N/A,N/A,N/A,N/A
volume96article23_1_6,"R,R-4",N/A,"anti-1,3-diols",61-96%,N/A,N/A,N/A,N/A
volume96article23_1_7,"R,R-4",N/A,epoxy alcohols,56-79%,N/A,N/A,N/A,N/A
volume96article23_1_8,"R,R-4",N/A,"differentially substituted anti-1,3-diols",63-89%,N/A,N/A,N/A,N/A
volume96article23_1_9,"R,R-4",N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_10,"R,R-4",N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_11,bis-homoallylic diol,N/A,acetal,N/A,N/A,N/A,N/A,N/A
volume96article23_1_12,acetal,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_13,methyl ketone,N/A,diketone,18%,N/A,N/A,N/A,N/A
volume96article23_1_14,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_15,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_16,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_17,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_18,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_19,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_20,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_21,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_22,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_23,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_24,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_25,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_26,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_27,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_28,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_29,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_30,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_31,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_32,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_33,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_34,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_35,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_36,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_37,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_38,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_39,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_40,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_41,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_42,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_43,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_44,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_45,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_46,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_47,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_48,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_49,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_50,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_51,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_52,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_53,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_54,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_55,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_56,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_57,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
