volume,article,raw_name,CAS,CIRsmiles,PubChemsmiles,PubChem_after_cas_check_smiles,PubChem_name_smiles
,,4 Å Molecular sieves,Not Found,Not Found,Not Found,Not Found,Not Found
,,4 Å MS,Not Found,Not Found,Not Found,Not Found,Not Found
,,Dichloromethane,Not Found,ClCCl,ClCCl,ClCCl,ClCCl
,,DCM,Not Found,ClCCl,ClCCl,ClCCl,ClCCl
,,(+)-diisopropyl L-tartrate,Not Found,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C
,,(+)-DIPT,Not Found,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C,CC(C)OC(=O)C(O)C(O)C(=O)OC(C)C
,,(-)-diisopropyl D-tartrate,Not Found,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C
,,(-)-DIPT,Not Found,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C,CC(C)OC(=O)[C@@H](O)[C@@H](O)C(=O)OC(C)C
,,titanium tetraisopropoxide,Not Found,[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-]
,,titanium(IV) isopropoxide,Not Found,[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-]
,,Ti(Oi-Pr)4,Not Found,[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-]
