Name,CAS
"4 Å Molecular sieves","70955-01-0"
"4 Å MS","70955-01-0"
"Dichloromethane","75-09-2"
"DCM","75-09-2"
"(+)-diisopropyl L-tartrate","2217-15-4"
"(+)-DIPT","2217-15-4"
"(-)-diisopropyl D-tartrate","62961-64-2"
"(-)-DIPT","62961-64-2"
"titanium tetraisopropoxide","546-68-9"
"titanium(IV) isopropoxide","546-68-9"
"Ti(Oi-Pr)4","546-68-9"
"tert-butyl hydroperoxide solution","75-91-2"
"TBHP","75-91-2"
"cumene hydroperoxide solution","80-15-9"
"divinyl carbinol","922-65-6"
"1,4-pentadien-3-ol","922-65-6"
"citric acid","77-92-9"
"4-Chlorophenylboronic Acid Pinacol Ester","195062-61-4"
"Bromocyclohexane","108-85-0"
"Copper(I) Bromide-Dimethyl Sulfide","54678-23-8"
"4,7-Diphenyl-1,10-Phenanthroline","1662-01-7"
"Sodium tert-butoxide","865-48-5"
"1,1-Diphenylethene","530-48-3"
"4-Nitrobenzonitrile","619-72-7"
"Benzophenone","119-61-9"
"1,3,5-Trimethoxybenzene","621-23-8"
"nosylamide","5455-59-4"
"2-nitrobenzendulfonamide","5455-59-4"
"Iodine","7553-56-2"
"NaOCl·5H2O","10022-70-5"
"Sodium hypochlorite pentahydrate","10022-70-5"
"trans-β-methylstyrene","873-66-5"
"2'-Hydroxy-5'-methoxyacetophenone","705-15-7"
"6-Methyl-5-hepten-2-one","110-93-0"
"Pyrrolidine","123-75-1"
"Butyric acid","107-92-6"
"DMSO","67-68-5"
"dimethyl sulfoxide","67-68-5"



