Index,Summary
0,
volume102article28_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| divinyl carbinol, (+)-diisopropyl L-tartrate, titanium tetraisopropoxide, cumene hydroperoxide | 11.6 mL (10.0 g, 119 mmol), 4.53 mL (5.07g, 21.4 mmol), 5.7 mL (5.40g, 19.0 mmol), 43.9 mL (45.2g, 238 mmol) | (S)-1-((R)-oxiran-2-yl)prop-2-en-1-ol | 7.53 g | dichloromethane, acetone | -15 to -16 ℃, -20 ℃ | 5 days, 1 hour | 63% |"
volume102article24_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-chlorophenylboronic acid pinacol ester, sodium tert-butoxide, copper(I) bromide-dimethyl sulfide, bathophenanthroline, bromocyclohexane | 8.59 g (36.0 mmol), 2.88 g (30.0 mmol), 206 mg (1.0 mmol), 499 mg (1.5 mmol), 2.50 mL (3.3 g, 20.0 mmol) | 1-cyclohexyl-4-chlorobenzene | 2.54 g (13.0 mmol), 325 mg (1.67 mmol) | toluene | 80°C | 24 hours | 65%, 8% |
| N/A | N/A | 1-cyclohexyl-4-chlorobenzene | 2.87 g (14.7 mmol) | N/A | N/A | N/A | 73% |"
volume102article22_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,1-diphenylethene, 4-nitrobenzonitrile | 3.61 g (20.0 mmol), 6.52 g (44.0 mmol) | Benzophenone | 2.63 g | acetonitrile | 30-35°C | 36 hours | 72% |"
volume102article17_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nosylamide, iodine, acetonitrile, NaOCl·5H2O, trans-β-methyl styrene | 8.50 g (42.0 mmol), 508 mg (2.00 mmol), 200 mL, 7.00 g (42.0 mmol), 2.40 g (20.0 mmol) | N,N'-((1R*,2S*)-1-Phenylpropane-1,2-diyl)bis(2-nitrobenzenesulfonamide) | 7.20 g | acetonitrile | 40 ℃, 75 ℃ | 12 h, 6 h | 69% |"
volume102article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2'-Hydroxy-5'-methoxyacetophenone, butyric acid, 6-methyl-5-hepten-2-one, pyrrolidine | 2.00 g (12.0 mmol), 0.55 mL (6.02 mmol), 1.96 mL (13.2 mmol), 1.48 mL (18.1 mmol) | 2-Methyl-2-(4-methylpent-3-en-1-yl)chroman-4-one | 2.46 g | DMSO | Ambient | 18 hours | 75% |"
