Index,Reactants,ReactantSMILES,Reactant amounts,Products,ProductSMILES,Product amounts,Solvents,Reaction temperature,Reaction time,ReactionSMILES,Yield
volume7article2_1_1,"p-hydroxyphenylarsonic acid, sodium hydroxide, chloroacetic acid, hydrochloric acid","Oc1ccc(cc1)[As](O)(O)=O, [OH-].[Na+], OC(=O)CCl, [H+].[Cl-]","218 g (1 mole), 180 g (4.5 moles), 189 g (2 moles), 200 cc (2.1 moles)",p-arsonophenoxyacetic acid,[As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1,110-120 g,water,"40-50°C, reflux",4 hours,Oc1ccc(cc1)[As](O)(O)=O.[OH-].[Na+].OC(=O)CCl.[H+].[Cl-]>>[As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1,40-43%
volume7article4_1_1,"phthalimide, potassium hydroxide","C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr, [OH-].[K+]","80 g (0.54 mole), 30.5 g (0.54 mole)",potassium phthalimide,[K+].O=C1[N-]C(=O)c2ccccc12,160-180 g,absolute alcohol,gentle boil,15 min,C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr.[OH-].[K+]>>[K+].O=C1[N-]C(=O)c2ccccc12,80-90%
volume7article4_1_2,"potassium phthalimide, ethylene dibromide","[K+].O=C1[N-]C(=O)c2ccccc12, BrCCBr","150 g (0.81 mole), 450 g (2.4 moles)",β-Bromoethylphthalimide,C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr,140-160 g,"alcohol, carbon disulfide",180-190°,12 hours,[K+].O=C1[N-]C(=O)c2ccccc12.BrCCBr>>C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr,69-79%
volume17article1_1_1,"citric acid monohydrate, concentrated sulfuric acid","OC(=O)CC(O)(CC(O)=O)C(O)=O, O[S](O)(=O)=O","210 g (1 mole), 210 g (2 moles)",aconitic acid,OC(=O)C\C(=C/C(O)=O)C(O)=O,71-77 g,water,140-145°C,7 hours,OC(=O)CC(O)(CC(O)=O)C(O)=O.O[S](O)(=O)=O>>OC(=O)C\C(=C/C(O)=O)C(O)=O,41-44%
volume17article2_1_1,"potassium phthalimide, γ-chlorobutyronitrile","[K+].O=C1[N-]C(=O)c2ccccc12, ClCCCC#N","100 g (0.54 mole), 52 g (0.5 mole)",γ-phthalimidobutyronitrile,C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O,,,150-180°C,1.5 hours,[K+].O=C1[N-]C(=O)c2ccccc12.ClCCCC#N>>C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O,
volume17article2_1_2,"γ-phthalimidobutyronitrile, sulfuric acid, distilled water","C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O, OS(=O)(=O)OS(=O)(=O)O, CC(=O)[O-]",,γ-aminobutyric acid,NCCCC(O)=O,24-32 g,sulfuric acid,reflux,3 hours,C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O.OS(=O)(=O)OS(=O)(=O)O.CC(=O)[O-]>>NCCCC(O)=O,47-62%
volume17article3_1_1,"2-ketohexamethylenimine, concentrated hydrochloric acid","O=C1CCCCCN1, [H+].[Cl-]","50 g (0.44 mole), 45 cc",ε-aminocaproic acid,NCCCCCC(O)=O,52.5-53.5 g,water,Boiling,1 hour,O=C1CCCCCN1.[H+].[Cl-]>>NCCCCCC(O)=O,90-92%
volume17article4_1_1,"nitroso-β-naphthol, sodium hydroxide, sodium hydrosulfite, hydrochloric acid","Oc1ccc2ccccc2c1N=O, [OH-].[Na+], [Na+].[Na+].[O-][S](=O)[S]([O-])=O, [H+].[Cl-]","240 g (1.39 moles), 1.5 l, 600 g, 500 cc","1,2-aminonaphthol hydrochloride",C1=CC=C2C(=C1)C=CC(=C2O)N,180-200 g,water,"35°C, 60-65°C, 85-90°C","30 min, 1 hour, 1 hour",Oc1ccc2ccccc2c1N=O.[OH-].[Na+].[Na+].[Na+].[O-][S](=O)[S]([O-])=O.[H+].[Cl-]>>C1=CC=C2C(=C1)C=CC(=C2O)N,66-74%
volume17article5_1_1,"sulfanilic acid dihydrate, α-naphthol, sodium hydroxide, technical sodium hydrosulfite, stannous chloride dihydrate, hydrochloric acid","C1=CC(=CC=C1[NH3+])S(=O)(=O)[O-].O.O, Oc1cccc2ccccc12, [OH-].[Na+], [22Na], Cl[Sn]Cl, [H+].[Cl-]","105 g (0.5 mole), 72 g (0.5 mole), 110 g (2.75 moles), 230 g (1.1 moles), 2 g, 2 g","1,4-aminonaphthol hydrochloride",C1=CC=C2C(=C1)C(=CC=C2O)N.Cl,70-73 g,water,"25°C, 45-50°C, 70°C, 30°C, boiling","1 hour, N/A, N/A, N/A, 5-10 minutes",C1=CC(=CC=C1[NH3+])S(=O)(=O)[O-].O.O.Oc1cccc2ccccc12.[OH-].[Na+].[22Na].Cl[Sn]Cl.[H+].[Cl-]>>C1=CC=C2C(=C1)C(=CC=C2O)N.Cl,72-75%
volume27article1_1_1,"β-aminopropionitrile, barium hydroxide octahydrate","NCCC#N, [OH-].[OH-].[Ba++]","70.1 g (1.00 mole), 185 g (0.55 mole)",β-alanine,NCCC(O)=O,75-80 g,water,90-95°C,40 minutes + 20 minutes,NCCC#N.[OH-].[OH-].[Ba++]>>NCCC(O)=O,85-90%
