volume,article,raw_name,CAS,CIRsmiles,PubChemsmiles,PubChem_after_cas_check_smiles,PubChem_name_smiles,OPSIN_name_smiles,Processed_name,Processed_PubChemsmiles
7,0,Anhydro-2-hydroxymercuri-3-nitrobenzoic acid,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2-Hydroxymercuri-3-nitrobenzoic acid,Not Found
7,0,"Benzoic acid, anhydro-2-hydroxymercuri-3-nitro-",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Benzoic acid,C1=CC=C(C=C1)C(=O)O
7,0,mercurous compounds,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Mercury(I) compounds,Not Found
7,0,mercuric salt,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Mercury(II) chloride,Cl[Hg]Cl
7,0,mercury compound,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,none,
7,0,Anhydro-o-hydroxymercuribenzoic acid,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,o-Hydroxymercuribenzoic acid,C1=CC=C(C(=C1)C(=O)O)[Hg].O
7,0,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
7,0,acetic acid ,64-19-7,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,,CC(O)=O
7,0,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
7,0,3-Nitrophthalic acid ,603-11-2,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O
7,0,mercuric acetate ,1600-27-7,[Hg++].CC([O-])=O.CC([O-])=O,[Hg++].CC([O-])=O.CC([O-])=O,[Hg++].CC([O-])=O.CC([O-])=O,[Hg++].CC([O-])=O.CC([O-])=O,[Hg++].CC([O-])=O.CC([O-])=O,,[Hg++].CC([O-])=O.CC([O-])=O
7,0,mercury ,7439-97-6,[Hg],[Hg],[Hg],[Hg],[Hg],,[Hg]
7,0,carbon dioxide ,124-38-9,O=C=O,O=C=O,O=C=O,O=C=O,O=C=O,,O=C=O
7,0,mercuric oxide ,21908-53-2,O=[Hg],O=[Hg],O=[Hg],O=[Hg],O=[Hg],,O=[Hg]
7,0,acetate,Not Found,Not Found,Not Found,Not Found,CC(=O)[O-],CC(=O)[O-],,CC(=O)[O-]
7,0,2-Bromo-3-nitrobenzoic acid ,573-54-6,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,,OC(=O)c1cccc(c1Br)[N+]([O-])=O
7,0,phthalic anhydride ,85-44-9,O=C1OC(=O)c2ccccc12,O=C1OC(=O)c2ccccc12,O=C1OC(=O)c2ccccc12,O=C1OC(=O)c2ccccc12,O=C1OC(=O)c2ccccc12,,O=C1OC(=O)c2ccccc12
